SH,SZ,DJI,FTSE,HIS,N225,SPX
0.012639424,0.017127711,0.000409759,-0.0121834,-0.003336176,0.00453541,0.001404348
-0.002838419,-0.004621899,0.007576843,0.014352144,0.010199456,0.004881862,0.010107284
0.011694028,0.012116473,0.000210478,0.009557285,0.02151643,0.003057392,0.002327644
-0.004783038,-0.003130824,-0.000886422,0.014347354,-0.007188276,-0.010532058,0.000429127
0.007746088,0.005069879,0.004546836,0.008922415,-0.00140346,0.021764786,0.003729217
-0.02406242,-0.024057088,0.011619172,-0.001093996,-0.014523351,0.020708088,0.0139103
0.002540947,0.002340332,-0.001295533,0.013049618,0.010259866,-0.001727368,-0.000175654
0.007286659,0.007734557,0.001123271,0.001242139,0.019478999,-0.000353026,0.001711315
0.005197016,0.005619527,0.000279201,-0.000788651,0.000503801,0.009518242,0.004514325
-0.006607992,-0.009318562,0.004203193,0.006807897,3.48E-05,0.008060293,0.00403337
0.000772105,-0.001935271,0.001210179,-0.004141124,0.000938348,6.70E-05,-0.00021737
-0.012488839,-0.016186411,0.001641993,0.001492496,-0.000869929,-0.002819266,0.000452076
-0.0121774,-0.022082329,0.004110071,-0.005668717,-0.00617851,0.011616042,0.007749057
0.005327512,0.003809062,0.004452928,0.004740393,-0.002668277,-0.009536449,0.005804795
0.019075524,0.02357298,0.004230038,0.004296477,0.01705217,0.007482156,-0.000325895
-0.001440155,0.000241188,-0.003456138,-0.000356154,-0.002519964,-0.004682661,-0.005099485
0.007085921,0.009450715,0.004079369,0.001328287,0.001880516,0.003787087,0.00508233
0.002222612,-3.83E-05,0.009498695,-0.000988078,-0.02068765,0.001277036,0.007145391
-0.007001349,-0.00384996,-0.004849726,0.005140418,0.002601526,0.015351349,-0.005508385
0.001205578,-0.001214717,0.000466847,0.000748799,0.000992457,-0.000900703,-0.001705629
-0.012387288,-0.016667284,0.000843646,0.008727401,-0.011011544,0.010022902,0.000737463
0.013337828,0.012616223,0.004184641,-0.004309465,0.013127021,-0.000649026,0.005667142
