date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2022/11/17,6.33,426.8,127.4,5.29,98.65,37.3,13.455,177,36.15,31,21.1
2022/12/14,5.55,113,115.8,8.72,74.709,37.55,11.884,41.25,26.55,27.25,15.475
2022/12/15,4.73,150.8,94.95,5.09,103.4,25.65,11.21,51.45,21.4,31.55,12.52
2022/12/16,4.49,181.5,97.9,5.82,88.75,33.2,11.289,67.5,21.25,31.55,14.5
2022/12/17,6.28,405.8,127,5.49,96.6,39.7,13.836,142.5,35.85,33.25,23.5
2023/1/13,5.94,53.8,128.5,11.14,73.845,38.4,12.08,30,29.35,25,11.825
2023/1/14,4.81,104.4,97.55,7.93,68.143,60.05,10.543,36.15,30.8,22.9,18.8
2023/1/15,5.84,132.7,124,8.92,83.983,38.15,12.171,47.8,27.6,29.1,17.3
2023/1/17,4.73,197.8,104.6,6.08,91.4,35.15,11.967,77.5,24.9,36,14.22
2023/2/15,5.7,134.8,123.9,8.89,87.785,38.95,11.857,49.9,26.15,27.75,17.9
2023/2/16,3.99,141.9,87.55,5.18,95.4,27.05,10.579,53.05,16.08,28.6,11.7
2023/2/17,5.19,214.8,114,6.11,92.5,32.25,12.298,86.9,27.55,36.5,15.4
2023/3/15,5.69,145.2,117.8,8.3,86.748,31.9,12.021,54,28.1,29.25,17.85
2023/3/16,4.3,159.7,95.3,5.37,101.4,31,10.563,54.8,19.98,30.9,11.12
2023/3/17,5.17,223,114.9,5.79,97.8,35.25,12.727,95.25,28.3,36.5,15.24
2023/4/13,5.21,50.32,112.2,9.41,66.875,39.85,12.955,35.6,28,23.35,10.75
2023/4/14,4.73,105.8,97.5,8.77,78.165,62.6,10.928,43.55,29.95,20.55,21
2023/4/15,6.81,160.9,124.3,10.06,95.1,31.8,12.622,48.3,33.25,38.2,21.325
2023/5/13,5.38,58.56,108.2,9.43,66.702,39.75,12.983,42.4,26.75,22,13.15
