date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2013-08-13,5.28,74.0,105.6,9.33,66.587,44.4,12.574000000000002,37.4,26.65,20.7,15.5
2013-08-14,5.28,133.2,117.7,10.86,83.695,52.55,11.748,47.45,29.5,23.65,19.275
2013-08-15,5.25,144.1,111.9,7.43,111.7,33.5,11.915999999999999,42.3,26.85,28.55,16.775
2013-09-13,5.46,82.16,101.7,8.67,65.205,46.25,11.425,35.0,26.95,19.0,16.775
2013-09-16,4.81,208.0,116.4,5.04,99.25,33.75,11.868,80.7,21.8,37.25,14.92
2013-09-17,5.78,334.0,136.8,4.99,100.7,37.9,13.4,141.3,32.35,36.1,19.7
2013-10-14,4.88,114.4,113.0,9.57,75.4,41.65,12.103,42.7,24.6,26.4,16.55
2013-10-15,4.99,142.9,101.3,6.26,105.6,28.15,11.375,48.05,25.15,28.45,15.4
2013-10-16,4.69,210.0,113.6,5.32,95.4,34.05,12.083,76.85,20.45,37.15,14.8
2013-10-17,6.37,349.2,132.8,4.99,99.9,37.9,13.545,140.0,31.05,35.25,21.7
2013-11-13,5.16,78.52,100.2,8.5,68.661,54.25,11.127,30.0,26.35,20.35,16.325
2013-11-14,5.11,129.5,115.7,8.83,80.066,46.9,12.636,43.9,25.2,33.05,14.9
2013-11-15,4.75,152.2,98.95,5.69,102.3,28.05,11.69,53.5,22.75,33.0,13.64
2013-11-17,6.17,387.6,126.0,5.49,97.0,37.4,13.4,179.2,32.5,32.4,21.05
2013-12-13,5.38,93.24,96.8,8.72,69.179,62.65,11.127,35.75,29.3,23.3,17.425
2013-12-16,4.76,186.3,102.5,5.76,91.25,34.35,11.603,66.9,22.75,32.85,15.76
2013-12-17,6.2,395.6,123.5,5.41,96.2,41.35,13.873,145.9,36.15,30.05,21.45
2014-01-13,5.81,50.96,123.3,11.0,73.384,36.6,11.995,28.7,28.0,25.45,12.0
2014-01-14,4.93,98.6,96.75,7.98,69.064,63.35,10.605,36.05,27.3,22.9,18.575
2014-01-15,5.68,126.0,121.2,8.73,82.024,37.55,11.98,46.45,29.2,29.3,16.825
2014-01-16,4.15,137.1,89.3,4.48,97.9,22.35,10.954,44.7,17.44,28.95,11.28
2014-02-13,5.77,54.36,124.0,10.62,71.714,36.5,12.136,31.45,30.45,24.05,11.325
2014-02-14,4.79,109.7,96.5,7.82,68.085,59.5,9.947000000000001,35.0,30.35,22.45,19.225
2014-02-17,4.96,202.8,108.5,6.14,93.15,33.1,12.314,86.2,27.05,36.95,15.16
2014-03-13,5.43,55.16,107.9,10.66,66.645,35.8,12.616,31.0,26.8,26.95,10.65
2014-03-14,4.43,112.8,91.65,7.67,69.583,61.05,10.146,32.15,26.5,20.75,19.1
2014-03-16,4.23,153.3,94.85,5.39,99.1,29.1,10.562999999999999,53.0,19.22,31.4,10.92
2014-03-17,5.09,214.6,112.1,5.69,96.15,34.45,12.347000000000001,83.75,27.5,35.8,15.5
2014-04-14,4.84,105.2,100.6,8.85,78.165,63.35,11.152000000000001,41.25,30.25,20.25,21.05
2014-04-15,6.59,161.2,125.9,9.93,97.404,34.45,12.882,54.2,31.4,37.6,21.025
2014-04-16,4.33,165.0,97.2,5.34,99.0,30.85,11.165,58.05,22.4,34.75,13.02
2014-04-17,5.02,230.6,119.3,5.69,94.8,37.25,13.040999999999999,95.5,28.4,35.8,15.06
2014-05-13,5.49,53.96,109.3,10.0,66.587,40.65,13.209000000000001,42.55,27.3,23.5,11.95
2014-05-14,4.79,102.8,100.7,9.23,76.783,57.55,11.189,43.0,29.05,20.4,19.525
2014-05-15,6.49,161.3,129.7,9.37,93.257,31.95,12.69,44.15,30.55,36.25,20.55
2014-06-13,5.07,60.16,97.25,8.27,60.309,39.3,11.524000000000001,41.5,22.05,20.7,13.425
2014-06-16,4.13,168.3,89.95,5.34,89.05,26.15,11.058,63.5,17.22,35.5,13.16
2014-06-17,5.21,277.4,120.7,5.02,98.9,37.15,13.273,97.05,26.3,35.05,15.52
2014-07-14,5.01,122.8,105.2,9.99,80.642,57.05,11.557,48.35,29.4,22.15,18.625
2014-07-15,5.72,151.7,122.6,8.03,112.0,32.45,11.841,42.85,26.15,32.25,18.8
2014-07-16,4.38,183.5,103.4,5.48,86.45,26.95,11.702,68.1,20.25,38.65,13.5
2014-07-17,5.27,284.8,119.3,4.88,100.6,35.55,13.545,107.2,28.1,35.15,15.04
2014-08-13,5.28,74.0,105.6,9.33,66.587,44.4,12.574000000000002,37.4,26.65,20.7,15.5
