作者1,作者2,合作次数,1-2单向引用次数,2-1单向引用次数,互引次数
Zhang F,Rigouts L,0,0,0,0
Zhang F,Suffys PN,0,0,0,0
Zhang F,Tortoli E,0,0,0,0
Zhang F,Hilton IB,0,0,0,0
Zhang F,Zhang W,0,7,0,0
Zhang F,Barendregt A,0,9,2,2
Zhang F,Lu TK,0,10,0,0
Zhang F,Samai P,1,3,2,2
Zhang F,Chen S,0,8,2,2
Zhang F,Perrimon N,0,8,0,0
Zhang F,Nunez JK,0,2,2,2
Zhang F,Yang B,0,12,0,0
Zhang F,Al-Hajoj SA,0,3,0,0
Zhang F,Allix C,0,0,0,0
Zhang F,Aristimuno L,0,0,0,0
Zhang F,Arora J,0,0,0,0
Zhang F,Baumanis V,0,0,0,0
Zhang F,Binder L,0,0,0,0
Zhang F,Brudey K,0,0,0,0
Zhang F,Cafrune P,0,0,0,0
Zhang F,Cataldi A,0,0,0,0
Zhang F,Cheong S,0,0,0,0
Zhang F,Diel R,0,0,0,0
Zhang F,Driscoll JR,0,0,0,0
Zhang F,Ellermeier C,0,0,0,0
Zhang F,Evans JT,0,0,0,0
Zhang F,Ferdinand S,0,0,0,0
Zhang F,Garcia de Viedma D,0,0,0,0
Zhang F,Gazzola L,0,0,0,0
Zhang F,Gori A,0,0,0,0
Zhang F,Guttierez MC,0,0,0,0
Zhang F,Hawkey PM,0,0,0,0
Zhang F,Kadival GV,0,0,0,0
Zhang F,Kreiswirth BN,0,0,0,0
Zhang F,Kubin M,0,0,0,0
Zhang F,Kulkarni SP,0,0,0,0
Zhang F,Liens B,0,0,0,0
Zhang F,Lillebaek T,0,0,0,0
Zhang F,Ly HM,0,0,0,0
Zhang F,Narvskaia O,0,0,0,0
Zhang F,Naumann L,0,0,0,0
Zhang F,Ngeow YF,0,0,0,0
Zhang F,Parwati I,0,0,0,0
Zhang F,Portaels F,0,0,0,0
Zhang F,Prodinger WM,0,0,0,0
Zhang F,Rahim Z,0,0,0,0
Zhang F,Rasolonavalona T,0,0,0,0
Zhang F,Rossetti ML,0,0,0,0
Zhang F,Rusch-Gerdes S,0,0,0,0
Zhang F,Sajduda A,0,0,0,0
Zhang F,Samper S,0,0,0,0
Zhang F,Shemyakin IG,0,0,0,0
Zhang F,Singh UB,0,0,0,0
Zhang F,Skuce RA,0,0,0,0
Zhang F,Somoskovi A,0,0,0,0
Zhang F,Streicher EM,0,0,0,0
Zhang F,Tracevska T,0,0,0,0
Zhang F,van Helden PD,0,0,0,0
Zhang F,Victor TC,0,0,0,0
Zhang F,Vincent V,0,0,0,0
Zhang F,Warren RM,0,0,0,0
Zhang F,Yap SF,0,0,0,0
Zhang F,Zaman K,0,0,0,0
Zhang F,Schwank G,0,0,0,0
Zhang F,Hu B,0,2,0,0
Zhang F,Chen BH,0,4,0,0
Zhang F,Langer R,2,9,0,0
Zhang F,Wang F,1,12,0,0
Zhang F,Orkin SH,4,5,0,0
Zhang F,Zhou Y,2,4,0,0
Zhang F,Zuris JA,0,10,0,0
Zhang F,Hegde M,0,7,0,0
Zhang F,Cuppen E,0,8,0,0
Zhang F,Olson EN,0,2,0,0
Zhang F,Bassel-Duby R,0,2,0,0
Zhang F,Liu J,0,2,0,0
Zhang F,Sullender M,0,0,0,0
Zhang F,Thompson DB,0,8,0,0
Zhang F,Tothova Z,0,5,0,0
Zhang F,Niu YY,0,8,0,0
Zhang F,Smith I,0,4,0,0
Zhang F,Pul U,0,8,3,3
Zhang F,Wagner R,0,4,3,3
Zhang F,Wurm R,0,4,3,3
Zhang F,Platt RJ,7,4,0,0
Zhang F,Swiech L,3,14,0,0
