ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
40,2,11.05,3.936,2.224
40,3,13.94,3.938,2.801
40,4,13.94,3.939,2.221
40,5,11.05,1.041,2.799
40,6,11.05,1.043,2.22
40,7,13.94,1.045,2.798
40,8,13.94,1.046,2.219
41,1,11.05,3.937,1.8
41,2,11.05,3.938,1.22
41,3,13.94,3.939,1.797
41,4,13.94,3.94,1.218
41,5,11.05,1.044,1.796
41,6,11.05,1.046,1.217
41,7,13.94,1.047,1.795
41,8,13.94,1.049,1.216
42,1,11.05,3.939,0.7947
42,2,11.05,3.942,0.2131
42,3,13.94,3.941,0.7931
42,4,13.94,3.943,0.2126
42,5,11.05,1.047,0.7932
42,6,11.05,1.053,0.2129
42,7,13.94,1.051,0.7918
42,8,13.94,1.055,0.2123
43,1,16.06,3.939,2.8
43,2,16.06,3.939,2.221
43,3,18.94,3.939,2.799
43,4,18.94,3.94,2.22
43,5,16.06,1.046,2.797
43,6,16.06,1.047,2.218
43,7,18.94,1.047,2.796
43,8,18.94,1.048,2.217
44,1,16.06,3.94,1.797
44,2,16.06,3.941,1.217
44,3,18.94,3.94,1.796
44,4,18.94,3.941,1.216
44,5,16.06,1.049,1.794
44,6,16.06,1.05,1.215
44,7,18.94,1.05,1.793
44,8,18.94,1.051,1.215
45,1,16.06,3.942,0.7927
45,2,16.06,3.943,0.2125
45,3,18.94,3.942,0.7921
45,4,18.94,3.943,0.2123
45,5,16.06,1.052,0.7914
45,6,16.06,1.055,0.2121
45,7,18.94,1.053,0.7909
45,8,18.94,1.056,0.212
46,1,21.06,3.94,2.798
46,2,21.06,3.94,2.219
46,3,23.95,3.94,2.796
46,4,23.94,3.941,2.218
46,5,21.06,1.048,2.795
46,6,21.06,1.049,2.216
46,7,23.95,1.049,2.794
46,8,23.94,1.05,2.216
47,1,21.06,3.941,1.795
47,2,21.06,3.942,1.216
47,3,23.94,3.941,1.794
47,4,23.94,3.942,1.215
47,5,21.06,1.05,1.793
47,6,21.06,1.052,1.214
