jobname,money,company_name,p_bot,industry,job_bt
机器学习/数据挖掘方向——算法工程师,25k-40k,混沌大学,"25k-40k,经验1-3年,本科","移动互联网,教育 / 不需要融资","
职位描述：

1.离线端的数据平台建设，采集用户行为数据，搭建数据仓库
2.用户行为数据挖掘，用户画像，行为预测，个性化推荐
3.利用数据，提升用户增长，并为公司提供决策支持

职位要求                         
1.熟悉基本的数据结构和常用算法                        
2.至少会一门编程语言，熟悉Linux系统，熟练掌握Python语言
3.熟悉mysql/redis/mongo等常用数据库，掌握大数据处理技术优先
4.较强的学习、分析问题的能力，良好的团队合作意识                      
5.丰富的数据挖掘/机器学习/推荐系统开发经验
6.统招本科以上学历

"
机器学习工程师,18k-36k,海致,"18k-36k,经验1-3年,本科","移动互联网,企业服务 / C轮","
职位描述：

1.3年以上以python/php/java   为主的互联网产品软件的开发工作经验。2.熟悉大规模数据挖掘、机器学习、等相关技术，并具备实际工作经验。
3.具备较强数据分析能力，能够针对业务提炼指标评估策略价值及发现关键问题。4.能够承担工作压力，具备创新&开拓思维、具备团队协作精神5.有较强的自我驱动力，良好的表达和沟通能力6.计算机相关专业本科及以上学历         期待对大数据分析感兴趣、热衷于智能化应用与实践的同学加入，共同打造“酷炫”的大数据智能分析产品！    

"
机器学习工程师,22k-44k,掌众金服,"22k-44k,经验3-5年,硕士","移动互联网,金融 / B轮","
职位描述：

1、 运用机器学习、深度学习方法和技术，解决获客风控、精准营销，客户价值提升等业务问题 ；2、 不断完善和优化算法，以技术创新驱动公司业务成长；  3、 研究学习前沿机器学习，深度学习算法，保持技术发展的领先性。     职位要求：  1、硕士及以上学历，计算机、数学相关专业，0-5年相关工作经验  ；2、掌握python、R、shell，java编程语言一种以上，熟悉Linux开发平台 ；3、有评分卡开发经验者优先 ；4、有深度学习开源框架使用经验者优先  ；5、有Hadoop，Spark，Kafka大数据开发经验者优先 ；6、较强的学习能力，对机器学习技术有浓厚兴趣  ；7、良好的沟通能力、执行力及团队协作能力。

"
机器学习,15k-30k,Hypers,"15k-30k,经验1-3年,本科",移动互联网 / 上市公司,"
职位描述：

岗位职责：
1. 分析与挖掘数据的潜在规律和关联，采用机器学习算法进行建模预测，如配送员送餐路径、配送员等待时间、商家出餐时间等。
2. 进行算法的代码实现，和产品开发一起推动算法落地，并解决实际运行中出现的问题，以技术驱动公司业务成长。
3. 根据业务需要对其他问题进行建模和算法设计。
岗位要求：
1. 一年以上算法工程师工作经验，对算法有较强的兴趣。
2. 熟悉Linux开发环境，熟练使用Python，SQL。
3. 熟悉常用数据库，如MySQL，MongoDB。
4. 熟悉数据挖掘、运筹优化、机器学习等相关知识。熟悉机器学习的基本算法，如回归方法、决策树、SVM、EM、Boosting等，有过算法设计优化经验较佳。
5. 善于合作，富于敬业精神，能够承受较大的工作压力。

"
机器学习与数据挖掘工程师,15k-30k,宜信,"15k-30k,经验不限,硕士",金融 / 上市公司,"
职位描述：

工作职责：
1、 运用数据挖掘和机器学习方法和技术，深入挖掘和分析海量商业数据
2、 不断完善和优化算法，以技术驱动公司业务成长，体现技术价值
3、 包括但不限于风控模型、征信系统、用户画像建模、文本分析和商业预测等
4、 参与项目产品设计以及代码review，指导初级工程师工作，组织交流分享促进团队共同进步
5、 带领团队进行新业务拓展、技术推广、跨团队技术交流、技术方向规划
任职要求：
1、 计算机、电子、数学或者统计学相关专业硕士以上学历，2年以上工作经历 （可应届生）
2、 精通一门或多门开发语言（C++、Python和Java等），熟练掌握常用数据结构和算法
3、 熟悉常用机器学习和数据挖掘算法，包括但不限于决策树、支持向量机、线性回归、逻辑斯谛回归以及神经网络等算法
4、 熟练掌握一种数据库，例如MySQL，精通SQL语言，并有实际应用和开发经验
5、 熟悉Spark等分布式机器学习框架，熟悉Hadoop/HBase/Hive等大数据处理平台
6、 优秀的沟通能力，有创新精神，乐于接受挑战，能承受工作

"
机器学习工程师,20k-40k,恺英网络,"20k-40k,经验3-5年,本科","移动互联网,游戏 / 上市公司","
职位描述：

职位描述：
1、负责恺英各平台对机器学习与人工智能的业务需求，包括但不限于推荐优化、预测分析、广告分析、文本与语义处理、异常检测、图片与视频处理、强化学习等；
2、负责为具体的项目提供可拓展的、可信赖的、甚至是端对端或最先进的算法设计以及代码支持；
3、可以有效地向上级主管汇报项目进度，并善于与其他部门进行团队合作与需求沟通；
4、对业界新应用和技术进展进行跟踪研究，能自发地、持续地对现有技术或方案进行迭代优化。
 
任职要求：
1、本科及以上学历，计算机、数学、统计、模式识别、机器学习等相关专业；
2、2-3年机器学习或深度学习相关项目开发工作经验；
3、熟悉机器学习基础理论和方法，熟悉常用机器学习的算法与技术，如分类与聚类，自然语言处理等，并对相关算法理解深刻，有实际建模经验；
4、具有较强的编程能力，熟练掌握至少一种编程语言，python, C\C ++, java, scala；熟悉并具有使用类Linux\Unix系统，shell命令和脚本的经验；
5、熟悉Hadoop\HBase\Hive\kafka等大数据处理平台，并具有基于Spark建模、调优、部署上线的相关项目经验；
6、了解深度学习模型，有深度学习实战经验，及熟悉深度学习开源框架如TensorFlow的使用者优先.

"
机器学习工程师,20k-30k,融畅软件,"20k-30k,经验3-5年,本科",移动互联网 / 未融资,"
职位描述：


职位要求：



 

1.至少具备以下教育背景中的一种： 计算机与信息科学类、数学类、统计类、计量经济学类、机器学习类等专业（硕士以上学历优先）；

 


3 年以上数据分析、数据挖掘及模型开发经验（有反欺诈经验、保险金融公司 大数据分析经验，咨询公司数据分析经验、互联网公司数据建模分析经验者优先）； 3.熟悉主流机器学习库，如 Sklearn、Spark MLlib、Tensorflow 等，熟练使用 SQL，熟悉主流数据库环境； 4.熟悉 JAVA； 5.对保险科技行业有兴趣，对工作有热情，具备良好的学习能力、逻辑思维能力、沟通能力、团队协作能力和执行力。



"
搜狗明医-机器学习研究员,20k-40k,搜狗,"20k-40k,经验3-5年,本科","移动互联网,数据服务 / C轮","
职位描述：

【项目介绍】搜狗明医是搜狗2016年中发布的一款旨在为用户提供真实、权威的医疗信息的垂直产品，旨在使搜狗成为用户寻找医疗信息的首选搜索引擎。目前产品形态上覆盖了搜索、智能自诊分诊（人工智能）、医生医院疾病信息及用户讨论区，上线以来市场份额一直快速提升中。

【特别提示】搜狗欢迎专情的你，所以提醒你只能选择两个项目，请慎重投递。
【岗位职责】搜狗明医搜索端排序、优质问答识别等相关技术工作；搜狗明医智能诊断系统的技术工作

任职条件
1.熟悉NLP算法、熟悉图像识别相关；2.对模式识别算法有深入的认识和理解；3.具备较好的C++或Java开发能力，具备较好的算法基础，逻辑归纳能力强。

"
机器学习工程师,15k-30k,荔枝,"15k-30k,经验1-3年,硕士",移动互联网 / D轮及以上,"
职位描述：

岗位职责：1、展开与音频相关的机器学习/深度学习等相关领域研究和开发工作；2、利用深度学习在音质、音色等维度上对荔枝fm平台上音频节目进行评价或转换。岗位要求：1、硕士或以上学历，至少完整做过一个机器学习项目；2、在深度学习领域有较深的理论研究和实践经验；3、熟悉至少一种当今主流的深度学习框架，包括tensorflow、caffe等；4、熟悉深度学习的可视化工具（如TensorBoard）者优先；5、思路清晰，主动性强，有很强的自我驱动力

"
机器学习工程师,20k-40k,闪送,"20k-40k,经验3-5年,本科",移动互联网 / C轮,"
职位描述：

职位描述：
1、负责机器学习平台的选型、搭建；
2、负责数据的策略建模、模型训练；
3、负责策略的最优理论研究、落地；
4、负责实现训练程序自动化训练脚本及流程、效率优化；
5、负责并行训练平台的操作和维护。
任职要求：
1、熟悉机器学习算法，深度学习算法，熟悉tensorflow等框架，具有较强的数据结构和算法的能力，并能有效的应用于实际的问题；
2、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
3、具有良好的沟通能力，和良好的团队合作精神，做事踏实稳重有条理。

"
