jobname,money,company_name,p_bot,industry,job_bt
深度学习工程师,18k-35k,树根互联技术有限公司,"18k-35k,经验3-5年,硕士","移动互联网,企业服务 / A轮","
职位描述：

岗位描述：
1. 领导算法团队开展技术攻关、算法产品化工作，以及团队成员培养；
2. 负责计算机文本、视觉、语音等机器学习（深度学习）的前沿算法研究、开发和应用；
3. 基于公司和客户业务场景和产品需求，负责算法选型、框架搭建、调优等，解决具体应用问题。

岗位要求：
1. 计算机或者图像处理、模式识别、机器学习相关专业，硕士以上学历；
2. 有RNN，CNN模型训练和调参经验，熟悉常用的深度学习工具（如caffe，TensorFlow等），硕士要求有3年以上该领域实际工程经验，博士要求有1年以上的实际工程经验；
3. 在图像识别、视觉检测、机械传动分析(震动、声音)、以及利用深度学习方法进行故障诊断预测等工程实践方面有实际经验；
4. 熟悉Python/Java语言；
5. 在相关领域的知名国际会议发表过论文者优先，有实际大型项目的落地经验者优先。

"
深度学习工程师,25k-50k,购搭,"25k-50k,经验3-5年,硕士",移动互联网 / B轮,"
职位描述：

岗位职责：
1、负责深度学习平台研发，基于深度学习算法；
2、研发新一代图像识别、人脸识别、智能推荐等功能产品；
3、保证以上产品可以在现有平台上正常运转。
 
任职资格：
1、硕士以上学历，三年以上工作经验，具备CV&ML领域扎实的基础理论和丰富的实践经验，熟悉Deep DNN/CNN理论；
2、熟练掌握C++、Python和GPU编程，熟悉Linux编程环境；
3、对Caffe或ConvNet等深度学习框架有深入的实践，熟练掌握深度卷积神经网络的调参策略；
4、具有良好的沟通能力，和良好的团队合作精神。

"
深度学习/机器学习研发工程师,15k-30k,百度,"15k-30k,经验1-3年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

工作职责：
-机器学习算法在海量数据情况下的应用研究，致力于大规模算法的工程实现及针对具体应用的改进，提升用户产品体验或商业产品变现能力等
-参与分布式机器学习的研究项目，解决分布式算法优化的问题
-面对海量数据下机器学习的挑战，抽象通用化机器学习解决方案
-在模型压缩等方向，抽象软硬件强协同的整套解决方案
职位要求：
-本科以上学历，计算机、数学或统计学教育背景
-精通机器学习算法，有数据挖掘建模的项目经验，并能够进行算法优化
-熟悉Hadoop，Map Reduce等分布式并行处理技术
-了解现有深度学习/机器学习开源框架，如TensorFLow、Caffe等
-具有较强的编程实现能力和快速学习能力，良好的沟通能力
-加分项：有deep learning的经验，具备GPU编程经验者，有linux下开发经验的，大规模数据处理经验

"
深度学习工程师,15k-30k,马上金融,"15k-30k,经验3-5年,硕士","金融,移动互联网 / 不需要融资","
职位描述：

岗位职责：
1、 基于海量数据进行分析，建立数据挖掘模型； 
2、 通过数据挖掘模型识别用户行为，识别用户价值； 
3、 负责用户画像、推荐等系统的开发工作； 
4、 参与核心产品推荐场景算法的研发和优化； 
5、 采用先进的深度学习算法，为公司业务部门提供决策依据；
任职要求： 
1、 熟悉常用数据挖掘算法，了解数据挖掘过程和理论方法； 
2、 熟悉Hadoop，熟悉（MySql/Oracle/DB2），熟练应用Sql语句； 
3、 能够熟练应用C/C++,Java ,R/Python/Scala 其中一种开发语言开展数据挖掘工作； 
4、 有很强的分析问题和解决问题的能力，有强烈的责任心； 
5、 踏实、细心、认真，有责任心，良好的团队协作，乐于沟通交流和分享； 
6、 工作3年以上，硕士及以上学历，计算机、数学等专业优先。

"
深度学习工程师,25k-50k,蓦然认知科技,"25k-50k,经验不限,本科",移动互联网 / A轮,"
职位描述：

岗位职责
1.从事自然语言理解、数据挖掘等工作的DL技术研发；
2.从事对话系统、智能问答、闲聊等工作的DL技术研发；3.从事语音识别、合成、唤醒等工作的DL技术研发。
岗位要求
1.熟悉深度学习、数据挖掘和NLP技术，有自然语言理解、对话系统或语音识别等应用经验者优先；2.至少熟练使用一门编程语言(c/c++等)和脚本语言(python等)；3.悉常用数据结构和算法，有较强的实现能力，有ACM/ICPC竞赛经验者优先；4.具有统计分析或数据挖掘背景，并对机器学习算法和理论有较深入研究者优先。

"
深度学习算法工程师,20k-40k,拼多多,"20k-40k,经验1-3年,硕士","电子商务,移动互联网 / C轮","
职位描述：

岗位职责：
1.负责Deep Learning领域前沿算法及框架跟踪，搭建面向企业级应用的大规模Deep Learning计算平台；
2.负责Deep Learning框架和模型底层修改，提升线上运算效率。
3.应用Deep Learning技术，针对语音、图像、文本等数据进行建模分析，为相关产品提供智能化支持，推动业务发展。
任职要求：
1.模式识别/人工智能/数学/计算机相关专业，硕士以上学历；
2.熟悉各种深度神经网络模型，并掌握相关实现及优化方案，有优化经验者优先；
3.有Deep Learning实战经验，熟悉常用框架，有多机多卡分布式集群开发部署经验者优先；
4.具有较强编程能力，熟练使用至少一种脚本语言（python/shell等），有C++开发经验，熟悉linux开发环境，有MPI、CUDA经验更佳；
5.对计算机视觉、语音识别、自然语言理解、高性能计算中的至少一个领域有强烈兴趣并有相关经验；
6.正直诚信、有团队精神、有责任感、有激情，学习能力强，能独立分析并解决问题。

"
深度学习算法工程师,20k-35k,汽车之家,"20k-35k,经验3-5年,本科","移动互联网,文化娱乐 / 上市公司","
职位描述：

工作职责:
1、负责深度学习平台的搭建与维护；
2、负责为NLP、图像处理等领域提供模型构建,定制和优化；
3、跟进业界深度学习的研究成果，开发/提升相应的算法任务。

任职要求：
1、本科或以上学历，计算机或者模式识别等相关专业；
2、至少2年linux开发经验, 有C/C++、python语言开发经验；
3、至少熟悉一种深度学习的开源框架，如Tensorflow, caffe, mxnet等, 对源码有研究者优先；
4、熟悉神经网络的各种模型(DNN, CNN, RNN, LSTM等)者优先；
5. 有良好的编程习惯, 具有较强的自我驱动能力和足够的自信心。

"
深度学习算法工程师,15k-25k,广州棒谷科技股份有限公司,"15k-25k,经验1-3年,硕士",电子商务 / 不需要融资,"
职位描述：

岗位职责：
1. 负责机器学习等领域前沿算法的研究与实现。
2. 应用Deep Learning等深度学习框架对图像、文本等数据的算法实现验证，搭建面向企业级应用的大规模Deep Learning计算平台；
3. 应用Deep Learning技术，针对图像、文本、等数据进行大数据训练建模分析，为相关产品提供智能化支持，推动业务发展。

岗位要求
1. 模式识别//数学/计算机/电子自动化等相关专业，硕士以上学历；
2. 熟悉Tensorflow/caffe/Mxnet等深度学习框架，并能进行网络的设计及算法优化；
3. 具有Deep Learning实战经验，有多机多卡分布式集群开发部署经验者优先；
4. 具有较强编程能力，熟练c/c++编程语言，具有在Linux下开发的经验，熟练使用至少一种脚本语言（python/shell）等。
5. 对计算机视觉、自然语言理解、高性能计算中的至少一个领域有强烈兴趣；
6. 学习能力强，能独立分析并解决问题。

"
深度学习研究员,25k-50k,图普科技（深度学习图像识别云）,"25k-50k,经验不限,博士","移动互联网,数据服务 / A轮","
职位描述：

岗位职责：
利用深度学习进行图像处理领域最前沿算法研发，并将算法应用到实际场景中；
任职要求：1. 博士学历，在ML、CV方面有深入研究；2. 了解机器学习领域最新进展，能快速学习新的理论和方法；3. 熟练掌握各种深度神经网络，熟练使用所有主流的深度学习框架；4. 在图像处理领域有项目经验者优先；5. 在CV相关领域发表过论文记录优先；6. 有志于从事人工智能行业，对新技术新算法研发有浓厚的兴趣。 

"
深度学习专家,20k以上,竹间智能科技(上海)有限公司,"20k以上,经验3-5年,硕士","移动互联网,其他 / B轮","
职位描述：

你对人工智能(AI)有热诚吗？
未来将是机器人与人工智能的世界，你想做有意义的事，一起改造世界吗？
你想成为中国最酷的梦幻队伍的一员吗？
竹间智能科技， Emotibot, 致力于发展最前沿的情感机器人，让机器人走入日常生活，以人为本，成为人类的最好的伙伴，私人助理，和可靠的代理人。这不是科幻，是正在发生中。
 
人工智能的机器人团队正在寻找深度学习的专家，一起来研发人机交互，自然语言理解的交互系统，情感计算，意图理解，类脑记忆，模拟人类思考方式等人工智能领域的前沿技术。
 
任职资格:
 
-硕士，博士，博士后，计算机及相关科系优先
-良好的逻辑思维能力，良好的科研能力
-熟悉 word2vec, LSTM, Memory Networks, CNN, RNN
-熟悉 Python
-具有IR和数据挖掘方面的项目经验者优先
-优秀的分析问题和解决问题的能力，能够把合理的思路成功应用于实践

"
