company,bt
清帆科技,主要 负责 垂直 领域 人机交互 研发 方向 为 1   负责 公司 人机对话 系统 chatbot 研发 2   利用 Deep   Learning NLP 技术 完成 文本 语义分析 用户 意图 理解 文本挖掘 等 模块 研发 将 研发 成果 应用 到 机器人 系统 中 提升 准确率 3   负责 垂直 领域 机器人 架构设计 优化 以及 相关 领域 前沿技术 探索 资格 1   计算机 或 数学 相关 专业 硕士 及 以上学历 3 年 以上 工作 经验 熟练掌握 自然语言处理 领域 基础理论 常用 方法 2   以下 多个 NLP 领域 有 深入研究 分词 语义分析 词性 分析 意图识别 知识图谱 文本 内容 理解 对话 管理 等 3   熟练掌握 Java 或 Python 有 Tensorflow Pytorch 框架 实际 工作 经验 4   扎实 编程能力 熟悉 计算机 基础理论 对 数据结构 算法 设计 有 深刻 理解 5   有 较 强 技术 沟通 能力 及 技术 产品 落地 能力 6   有 团队 管理 经验 者 优先
美团点评,为 推荐 搜索 问答 等 功能设计 实现 高质量 基础 特征 Category Topic   Entity 等 对 用户 以及 用户 反馈 动作 评论 建模 快速 定位问题 收集 数据 设计 解决方案 提升 产品 体验   1 具备 强悍 编码 能力 有 扎实 数据结构 算法 功底 熟悉 Linux 开发 环境 熟悉 PythonJavaC 语言 熟悉 自然语言处理 常见 算法 模型 语言 模型 MaxEnt CRF   pLSALDA   w2v   CNNRNN 等 或 主导 过 NLP 项目 如 中文分词 文本分类 文本 聚类 发表 过 高水平 学术会议 论文 者 优先 对 使用 NLP 技术 解决 实际 问题 尤为 感兴趣 者 优先
印孚瑟斯,                          1 本科 及 以上学历 计算机 或 相关 专业 3 年 以上 AI   算法 工程师 经验       2 有 丰富 大 数据 AI 系统 整体 架构设计 规划 经验 需 满足       21   具有 至少 某一 行业 AI 领域 成功 项目 经验 项目 中 担当 架构师 等 重要 角色       22   熟悉 业界 主流 AI   平台 之一 如 微软 机器学习 IBM 认知 计算 阿里 AI 百度 大脑 不 强制       23   有 基于 开源 机器学习 平台 如 Tensorflow Caffe 上 GPU 编程 不 强制       3   必须 具备 NLP 项目 经验   对   LSI     LDA   LSTM     CNN 等 算法 熟练掌握 对 语料 预处理 词干 处理 特征提取 模型 创建 等 NLP 技能       4   有 很 强 线性代数 理论知识       5   具备 Python   开发 2 年 以上 经验 有 并发 开发 实际 项目 经验       6   熟练 几个 常见 python   包 比如 Numpy   SciPy   Pandas   sklearn       7   有 一定 Oracle   SQLPLUS 开发 经验 对 数据仓库 建模 有 一定 经验
360,中文 自然语言处理 算法 工程师 负责 信息抽取 命名实体识别 消歧 词法 句法分析 文档 摘要 情感分析 智能问答 机器翻译 等 基础 算法 研发   岗位 1   具有 自然语言处理 专业 计算机 背景 硕士 博士 2   精通 统计 语言 模型 相关 机器学习 核心 算法 3   精通 至少 一种 编程语言 但 不 限于 CC Python 等 要 通过 我们 上机 实战 测试 4   熟练掌握 深度 学习 框架 模型 如 CNN   RNN   LSTM 候选者 优先 考虑 5   具有 中文 自然语言处理 3 年 以上 项目 经验 者 优先 考虑 6   具有 国际 会议 顶级 论文 或者 大赛 优异成绩 者 优先 考虑  
游族网络,岗位职责 : 1 负责 自动对话 语义 知识 表示 语义挖掘 语言 逻辑 等 相关 研发 工作 负责 分词 词性标注 依存 文法 分析 信息提取 挖掘 等 技术 研发 结合 自然语言处理 机器学习 数据挖掘 文本挖掘 等 方法 建立 数据模型 解决 实际 业务 问题 构建 NLP 相关 预测 模型 服务 于 用户 画像 推荐 等 系统   资格 : 1 本科 及 以上学历 3 年 以上 从事 机器学习 NLP 等 工作 经验 数学 统计 模式识别 计算机软件 等 专业           2 具有 丰富 自然语言处理 专业知识 熟练掌握 各种 数据挖掘 算法 技术 具有 实际 数据挖掘 处理 经验   3 熟悉 自然语言处理 机器学习 模式识别 等 常用 算法 对 NLP 方向 有 浓厚兴趣 熟练掌握 下 表里 一种 以上 编程语言 Python   Java   matlab   CC   Scala 等   5 熟悉 深度 学习 开源 平台 如 TensorFlow Caffe DeepLearning4j   等 并 具备 相关 平台 开发 经验   6 熟悉 信息检索 概念 如 文本挖掘   分类 聚类 摘要 结构化 信息提取 中文信息处理   如 分词 词性标注 命名实体识别 信息抽取 系统 问答系统 等 知识 系统 等 方面 研究 开发 经验 英语 优秀 有 海外 留学 经验 优先 具备 持续 学习 新兴 技术 能力 良好 团队 协作 精神
Gridsum 国双,针对 海量 文本 内容 进行 中文分词 语义识别 自动 文本 聚类 情感分析 等 文本挖掘 工作 为 公司 产品 加入 文本挖掘 功能 实际 场景 中 有效 运用 成熟 文本挖掘 算法 将 文本挖掘 技术 产品化 小组 产品设计 讨论 共同 讨论 设计 产品 自然语言处理 相关 专业 毕业 熟练掌握 自然语言处理 领域 基础理论 方法 熟悉 中文分词 语义分析 文本 聚类 情感分析 等 基础 算法 应用 拥有 编程能力 可以 通过 编写程序 实现 运用 文本挖掘 算法 解决 实际 问题 拥有 根据 实际 情况 调整 优化 文本挖掘 算法 能力 以 达到 最终 商业 目标 拥有 实际 文本挖掘 项目 经验 熟悉 软件开发 流程 配置 库 使用 拥有 软件开发 流程 中 代码 规范 意识 配置管理 规范 意识 文档 撰写 规范 意识 团队 合作 沟通交流 意识 公司 福利 按照 国家 工作 地区 相关 规定 为 员工 提供 养老 失业 工伤 医疗 生育 保险 住房 公积金 同时 购买 了 商业 补充 医疗保险 提供 每年 一次 健康 体检 传统节日 发放 节日 礼品 每年 将 至少 组织 一次 免费 旅游 定期 组织 员工 活动 康体 健身活动 优秀员工 将 获得 公司 奖励 额外 旅游 或 休假
CTR,数学 统计学 计算机 或 相关 专业 本科 及 以上学历 研究生 学历 优先 3 年 以上 机器学习 及 软件开发 工作 经验 其中 至少 1 年 以上 自然语言处理 相关 工作 经验 乐于 钻研 具有 较强 学习 能力 能 独立 解决问题 工作勤奋 负责 有 较 强 沟通 能力 专业技能 数学 编程 功底 扎实 熟悉 自然语言处理 机器学习 理论 及 方法 熟悉 常用 算法 熟练 使用 Python Scala 或 Java 语言 熟练 英语 读写能力 能 无障碍 阅读 英文 资料 撰写 英文 文档 熟悉 NLP 相关 模型 技术 如 贝叶斯 网络 隐 马尔可夫 模型 语义分析 情感 分类 等 熟悉 机器学习 特别 是 深度 学习 理论 方法 熟练 运用 至少 一种 传统 机器学习 及 深度 学习 框架 如 Scikit - Learn Spark   MLlib TensorFlow MXNet Deeplearning4j 等 具有 Solr ElasticSearch 等 搜索引擎 实践经验 者 优先
飞常准,1   利用 机器学习 NLP 技术 从 海量 异构 数据 中 进行 有 价值 民航 服务 信息 挖掘 整合 2   分析 挖掘 海量 结构化 数据 中 规律 有效 预测 民航 服务 数据 变化趋势 开发 量化 服务 策略 产品 文本挖掘 产品 算法 设计 开发 及 编码 实现 3   使用 数据挖掘 语义 网 技术 整合 民航 服务 相关 数据 构建 民航 服务 标准 体系 2 年 以上 Python 或 CC ＋ ＋ 开发 工作 经验 熟练 使用 至少 一种 深度 学习 工具包 熟悉 MapReduce Spark 等 大 数据 计算 框架 具备 较 好 数据结构 算法 基础 数学 基础 扎实 逻辑思维 能力 突出 能够 流畅 阅读 英文 文献 熟悉 分词 词性标注 实体识别 句法分析 等 有 情感分析 关系 抽取 事件 抽取 经验 者 优先 熟悉 常用 统计 方法 数据挖掘 机器学习 方法     较强 沟通 能力 有 团队 合作 意识 积极主动 责任心 强
粉笔网,  中文 英文 写作 批改 相关     1   计算机 或 数学 专业 硕士 及 以上学历 2   掌握 自然语言处理 领域 基础理论 方法 3   熟悉 机器学习 领域 基本 算法   4   开发 及 学习 能力 强 且 有 不错 数学 基础     有 以下 经验 者 优先   - 大规模 推荐系统 研发 经验   - 深度 学习 算法 优化 理论 研究 经验   - 对 分词 关键词 提取 命名实体识别 文本分类 主题 分析 情感分析 等 有 相关 经验 者 优先 关于 粉笔 科技   北京 粉笔 蓝天 科技 有限公司 成立 于 2015 年 2 月 总部 位于 北京 2017 年 南京 济南 武汉 等 地 设立 师资 中心 粉笔 科技 是 一家 基于 移动 互联网 线 教育 培训 企业 主打 针对 成人 就业 市场 基于 考试 知识 类 培训 用 免费 题库 切入 市场 通过 直播 课 教学服务 变现 目前 技术 团队 主要 成员 来自 腾讯 百度 新浪 网易 等 当前 业务 涵盖 公考 教师 司法 考研 等 领域 粉笔 科技 注册 用户 超过 900 万 直播 课近 5 万堂 售卖 超过 600 万人次 2017 年 上半年 年营 收过 2 亿 连续 三年 保持 300 增长   福利待遇   享受 五险 一金 商业保险 2   交通 补贴 1000 元 午餐 补贴 600 元 3   免费 电影 健身房 水果 零食 4   健康 体检 旅游 基金 6000 元 5   弹性 工作制 不 打卡 人性化 管理 6   7 天年 假 12 天全 薪 病假
泛微,利用 相关 技术 算法 提供 文本 分析 相关 基础 方案 服务 针对 海量 文本 内容 进行 中文分词 语义识别 自动聚类 等 文本挖掘 工作 负责 数据 业务 紧密 集合 熟练掌握 自然语言处理 NLP 相关 理论 技术 方法 熟练掌握 使用 java 数学 正则 至少 掌握 一种 脚本语言 熟悉 中英文分词 词性标注 实体识别 句法分析 自动文本分类 关键值提取 等 自然语言处理 技术 熟悉 语义分析 方法 技术 相似度计算 本体理论 语义推理 等 熟悉 人机对话 前沿 方向 研究 方向 熟悉 了解 人工智能 机器学习 等 领域 前沿 方向 研究 动向 具备 将 机器学习 自然语言处理 理论 转化 为 实践 能力 具有 相关 项目 研发 经验 者 项目 主要 参 人员 优先 薪酬 福利 提供 有 竞争力 薪资 执行 相对 公平合理 绩效 政策 薪酬 结构 其他 福利 美味 三餐 各种 补贴 生日 节日 福利 年休 优秀员工 出国 旅游 等 作息时间 每天 八小时 工作制 9 : 00 - 18 : 00 午休 1 小时 双休 国家 法定 节假日 我们 期待 您 加入 期待 众 不同 您 加入 我们 泛微 一起 共同 创造 移动 办公 OA 行业 新 历史 让 我们 OA 走向 海外 让 更 多 优秀 组织 都 能 用到 泛微 移动 办公 OA 软件 更 多 详情 欢迎 浏览 我们 官网 wwwweavercomcn
