company,bt
掌阅,结合 业务 需求 用户 建模 挖掘 提升 个性化 推荐 效果 深入研究 业内 领先 技术 思路 结合 业务 平台 数据 输出 具有 创新 价值 预研 项目 可行性 分析 报告 及 相关 实验 数据     3 负责 词法 分析 词性标注 中文分词 自动对话 语义挖掘 语言 逻辑 等 相关 研究 工作 负责 NLP 前沿 问题 研究 结合 未来 实际 应用 场景 提供 技术 解决方案   岗位   计算机科学 机器学习 人工智能 等 专业 硕士 及 以上学历   扎实 推荐 算法 机器学习 数据挖掘 NLP 理论 技术 基础   精通 至少 一种 技术 语言 包括 但 不 限于 java CC C python 等 编程能力 扎实 熟悉 一些 开源 算法 库 或 工具 比如 stanford NLP NLTK Apache   Open NLP Kaldi   HTKHTS hadoop 等 5 有 自然语言处理 机器翻译 计算机视觉 语音识别 等 领域 全球 领先 企业 工作 经验 有 大规模 分布式计算 平台 使用 并行算法 开发 经验
云知声,工作 计算机相关 专业本科 及 以上学历 2 熟练掌握 Java 或者 CC 语言 熟悉 一门 脚本语言 如 Python3 有 自然语言处理 或 机器学习 经验 有 深度 学习 经验 优先 4 有 良好 学习 沟通 团队 协作 能力 5 有 较 好 英文 科技 文献 阅读 能力 工作 职责 负责 自然语言处理 相关 算法 研发 工作 包括 但 不 限于 语义理解 语言 生成 对话 管理 信息抽取 知识图谱 自动 问答 聊天 机器人 等 2 把 相关 NLP 算法 做 工程 优化 并 应用 于 实际上 线 产品 中 3 跟踪 NLP 领域 研究 动态 发表 学术论文 申请 发明专利
猎户星空,人机交互 系统 中 自然语言处理 相关 核心技术 研发 人机交互 系统 线 服务 维护 相关 业务 开发 基于 大 数据分析 相关 算法 建立 内容 分类 模型 用户 画像 探索 自然语言处理 前沿技术 并 应用 于 垂直 领域 语义 解析 对话系统 个性化 推荐 等 系统 中 计算机相关 专业本科 以上学历 1 - 2 年 NLP 相关 工作 经验 python C 项目 经验 有 机器学习 ML   自然语言处理 个性化 推荐 研究 或 用户 画像 建模 相关 背景 优先 熟悉 深度 学习 理论 算法 知识 PyTorchTensorFlowCaffeKeras Theano 等 有 参 过 自动 问答系统 对话系统 知识图谱 或 推荐系统 研发 经验 者 优先 有 创业 激情 良好 抗压 能力 团队精神
小鹏汽车,使用 自然语言处理 信息检索 机器学习 等 技术 研发 中文 NLP 相关 产品 系统 具体内容 包括 1 NLP 基础 工具 研发 包括 命名实体识别 词性标注 语义分析 情感分析 文本摘要 主题发现 文本相似度 等 2 构建 相关 行业 知识图谱 3 参 NLP 相关 产品 系统 如 智能问答 智能聊天 机器人 设计 研发 4 关注 行业 前沿技术 并 对 产品 提出 改进 建议 对 现有 技术 方案 进行 演进 1 本科 以上学历 计算机相关 专业 2 优秀 编程能力 熟练 使用 JavaPython 等 熟悉 常见 数据结构 算法 3 熟练掌握 自然语言处理 领域 基础理论 方法 并 有 2 年 以上 相关 研究 或 项目 经验 4 有 基于 生成式 seq2seq 基于 检索 式 对话系统 研发 经验 者 优先 5 对 word2vec CNN LSTM   GRU 等 方法 原理 有 深入 了解 6 有 深度 学习 相关 经验 熟悉 常用 深度 学习 框架 如 TensorFlow   Caffe Theano dl4j 等 者 优先 7 有 不断 学习 习惯
星环科技,  介绍 1 负责 星环 自然语言处理 算法 库 开发 实现 2 负责 海量 文本 信息 知识 提取 知识库 维护 3 负责 金融信息 知识图谱 开发 构建   技能 1   扎实 数据结构 算法 基础 扎实 java 基础 2   熟练 使用 Linux 熟练掌握 Shell 脚本 3   扎实 机器学习 理论 基础 有 数据 建模 经验 优先 熟练 R 或者 Python 4   熟悉 基本 NLP 库 如 nltk jieba   core NLP 等 5   熟悉 深度 学习 库 优先 比如 MXNet TensorFlow Torch Theano   Keras 等 6   熟悉 分布式 平台 Hadoop Spark 优先   工作 地点 上海
多牛传媒,利用 自然语言处理 工具 对 海量 文本 内容 进行 文本 分词 语义分析 关键词 分析 主题 分析 情感分析 舆情分析 意图识别 质量 评估 标签 提取 语义识别 自动聚类 等 文本挖掘 知识库 建设 等 研发 工作 计算机 统计 数学 及 相关 专业 硕士 及 以上学历 2 具备 自然语言处理 及 机器学习 方面 基础理论 知识 有 相关 实战 项目 经验 者 优先 3 熟悉 常用 编程语言 如 Python Java 等 有 扎实 编程能力 4 思路清晰 主动性 强 有 很 强 自我 驱动力 5 责任心 强 能 承受 工作 压力 良好 沟通交流 能力 能 迅速 融入 团队 6 熟悉 常用 分词 算法 情感分析 本体 识别 特征提取 文本分类 预测 文本 聚合 算法 熟悉 RNN CNN 等 深度 学习 算法 及其 常用 技术 如 TensorFlow   word2vec   等  
小红书,1   负责 自然语言处理 基础 研究 开发 设计 并 优化 NLP 算法 搭建 实时 自然语言处理 系统 2   负责 语义分析 情感分析 意图识别 内容 提取 Anti - Spam 等 系统 设计 开发 3   负责 自然语言处理 团队 建设 并 跟进 调研 业界 新 技术 资格 1   扎实 自然语言处理 机器学习 技术 基础 ; 2   熟悉 自然语言处理 方法 包括 分词 自动 新词发现 词性标注 命名实体识别 多 语义 文本 归类 中心思想 提取 深度 学习 NLP 领域 中 应用 独立 实现 过 NLP 系统 ; 3   有 优秀 洞察力 分析判断 能力 对 解决 具有 挑战性 问题 充满 激情 4   有 相关 项目 研发 经验 并 担任 核心 算法 研发 者 优先 5   良好 沟通 能力 项目管理 能力   有 良好 团队 协作 意识 对 技术 饱有 热情 你 福利 最新 Macbook   Pro 每日 三餐 全包     海量 零食 水果 可乐 咖啡 无限 畅饮 不用 打卡   但 不 保证 准时 下班 全年 多次 国内   outing   位于 新天地 高档 办公楼
爱咔咔,Job   Description1 负责 自然语言处理 NLP 自然语言 理解 分词 语义推理 等 结构化 数据处理 相关 问题 2 利用 自然语言处理 技术 方法 对 业务 场景 语义 模型 进行 搭建 实践 3 从 系统工程 角度 能 利用 Word2Vec 知识图谱 等 工具 来 利用 神经网络 解决 具体 问题 Qualify 1 扎实 算法 基础 熟悉 算法 相关 理论 算法 原理 机器学习 基本 理论 具备 扎实 良好 数学 基础 2 精通 自然语言处理 相关 领域 知识 技能     3 人工智能 领域 有 一定 积累 能够 从 复杂 业务 场景 中 进行 算法 选型 算法 优化 以及 不断 提升 效果 并且 能够 真正 应用 商业 环境 成为 商业智能 驱动 者 4 java C Python 基础 扎实 熟悉 基于 统计 机器学习 模型 以及 当前 深度 学习 模型   5 文本挖掘 语义理解 以及 知识图谱 等 任一 领域 有 实际 开发 从业 经验 者 优先 6 良好 团队 合作 意识 对 新 技术 有 热情
智慧芽,负责 特定 领域 数据 提取 主要 为 业务 提供 关键 数据 2 负责 大规模 文本 数据库 处理 包括 生 文本 预处理 过滤 语言 模型 生成 未 登录 词 识别 等 语料库 维护   岗位 自然语言处理 方向 2 年 以上 研究 或 工作 经验 如 分词 词性标注 实体识别 情感分析 熟悉 NLP 方向 国际 上 一些 研究 方向 热点 熟悉 机器学习 算法 熟悉 文本 语义分析 算法 熟悉 中文分词 标注 文本分类 语言 模型 知识库 挖掘 等 NLP 相关 算法 精通 python 或 Java 数据结构 良好 沟通 团队 合作 能力 有 NLP 方向 系统 工作 经验 从事 过 实际 爬虫 开发 内容 提取 工作 经验 者 优先 博士 学历 985 甚佳 NLP   RD   EngineerPosition   SummaryAs   an   NLP   RD   Engineer   you   will   have   the   key   responsibility   including   but   not   limited   to   of   researching   and   applying   the   latest   trends   in   Natural   Language   Processing   to   our   big   data   sets   comprising   of   120   million   patent   documents   and   more   Responsibilities   include   planning   and   management   of   ETL   statistical     textual   analysis   pipeline   while   creating   meaningful   features   in   our   different   products   for   our   clients   and   stakeholders   The   successful   candidate   also   have   a   chance   to   lead   and   build   up   the   team   capabilities   within   PatSnapKey   QualificationsThe   successful   candidate   should   have   significant   experience   in   the   following   areas :   •                   Master   or   PhD   research   direction   is   Natural   Language   Processing •                   Domain   Knowledge   in   Natural   Language   Processing     Machine   Learning     Data   Mining •                   Deep   understanding   in   at   least   3   of   the   following :   Sentiment   Analysis   Entity   Extraction   Natural   Language   Understanding •                   Strong   knowledge   on   deep   learning   for   NLP •                   Experience   with   Word   Disambiguation   and   Word   Embeddings •                   Experience   with   open - source   NLP   toolkits   such   as   Core NLP   Open NLP   NLTK   Gensim   LingPipe   Mallet   etc •                   Strong   understanding   of   text   pre - processing   and   normalization   techniques   such   as   tokenization   POS   tagging   and   parsing   and   how   they   work   at   a   low   level •                   Proficiency   with   common   used   programming   languages   such   as   C   C   Python   Java   and   R •                   Expertise   in   producing   processing   evaluating   and   utilizing   training   data •                   Knowledge   of   Software   Engineering   best   practices   and   standards •                   Experience   working   with   engineers   and   product   managers •                   Ability   to   present   research   progress   to   senior   management     The   successful   candidate   will   also   have   the   following   attributes :   •                   Growing     Open   Mindset •                   Leadership   ownership   and   good   work   ethics •                   Discipline   and   an   attention   to   details                                   Proficiency   in   both   English   and   Chinese   a   plusEducation   Here   at   PatSnap   we   believe   that   academic   credentials   are   as   valuable   as   action   focused   experience   Show   us   what   you   can   doPatSnap   is   an   equal   opportunity   employer
拼多多,岗位职责 1 负责 建立 基础 NLP 算法 模型 体系 带领 团队 优化 分词 纠错 文本挖掘 以及 各类 NLP 算法 文本挖掘 解构 十亿 级别 电商 文本 语料 支持 文本 算法 优化 提高 电商 搜索 用户 体验 关注 业界 动态 将 最新 成果 工具 应用 于 NLP 算法 改进 构建 团队 基础 研究 能力 资格 1 计算机 数学 统计 或 相关 专业 硕士 以上学历 3 年 以上 自然语言处理 相关 工作 经验 熟悉 常用 语言 模型 如 N - Gram NNLM LSTM CRF 翻译 模型 有 相关 优化 经验 有 中文分词 词性标注 实体识别 同义词 文本挖掘 或 知识图谱 等 相关 项目 经验 较 好 代码 实现 能力 熟练 使用 C Java 等 编程语言 快速 使用 数据分析 工具 脚本 具有 优秀 分析 解决 实际 问题 能力 能够 自我 驱动 有 创业 激情 很强 抗压性 加 分项 1 有 搜索 领域 分词 去 词 纠错 等 相关 算法 开发 经验 者 优先 有 搜索 电商 微博 等 海量 互联网 语料 文本挖掘 使用 经验 者 优先
易车公司,负责 探索 非 结构化 文本 理解 知识 抽取 等 技术 问题 建立 汽车行业 知识图谱 开发 文本挖掘 应用   2 个性化 推荐系统 研发 应用 NLP AI ML 技术 解决 实际 问题   3 chatbot 开发 应用 nlp 深度 学习 算法 解决 实际 应用 难题 自然语言 理解 人工智能 模式识别 计算机 电子信息 等 相关 专业 统招 研究生 以上学历     2 熟悉 序列 标注 模型 CRF Deep   Learning 结合 语义 解析 语义 分类 统计 语言 模型 建模 有 多种 中文 切词 命名 体 识别 工程 经验 熟悉 Linux 环境 具有 CC java 开发 工作 经验 至少 使用 过 一种 脚本语言 perl python shell 等     4 较强 发现 问题 分析 问题 解决问题 能力 有 强烈 上进心 求知欲 善于 学习 新 事物     5 良好 团队 合作 分享 精神 较强 沟通 能力
考拉阅读,负责 题库 内容 信息抽取 信息检索 内容 质量检查 等 NLP 相关 项目   二 本科 以上学历 一年 以上 NLP 开发 经验 算法 数据结构 基础 扎实 熟练掌握 各种 NLP 算法 掌握 常用 机器学习 算法 理解 常用 模型 有 搜索引擎 推荐 引擎 相关 项目 者 优先 Python C Java 均 可  
爱云校,使用 自然语言处理 信息检索 机器学习 等 技术 研发 智能问答 对话系统 NLP 基础 工具 研发 包括 分词 词性标注 命名实体识别 新词发现 句法 语义分析 等 研究 建立 并 完善 应答 机器人 相关 模型 算法   搭建 并 维护 自然语言处理 相关 基础 技术 设施 资格 至少   2   年 以上 自然语言处理 相关 工作 经验   2 熟悉 自然语言处理 及 机器学习 基本 算法 熟悉 常用 深度 学习 算法 有 处理 真实 数据 项目 经验 有 自然语言处理 搜索引擎 大 数据 知识图谱 相关 经验 者 优先 熟练掌握   PythonCC 之一 能 使用 常用 深度 学习 框架 进行 算法 开发
慧闻科技,1 维护 升级 现有 智能问答 算法 2 设计 并 实现 多轮对话 系统 进行 上下文 分析 意图识别 等 3 进行 开放 域 聊天 设计 制定 知识 抽取 清洗 等 流程 4 结合 具体 业务 场景 开发 出 相应 对话系统 1 理解 并 熟练掌握 常用 机器学习 算法 如 SVM K - Means AdaBoost CR HMM 等 熟练 使用 相关 开发 库 如 python 中 NLTK 等 2 理解 并 掌握 深度 学习 相关 算法 如 RNN CNN LSTM word2vec 等 3 熟练 使用 深度 学习 相关 框架 如 tersorFlow Caffe 等 4 熟练掌握 NLP 相关 算法 包括 分词 词性标注 命名实体识别 实体 关系 抽取 等 5 熟练掌握 语义 依存 分析 依存 句法分析 原理 算法 6 熟悉 智能 对话系统 流程 能够 进行 多轮对话 系统 设计 7 对 TFI - DF 算法 具有 深入 了解 并 可 根据 对 该 算法 进行 升级 修改 8 熟悉 Linux 开发 环境 掌握 Java python C 中 一种 9 有 搜索引擎 推荐系统 对话系统 等 经验 者 优先 10 有大 数据处理 工作 经验 者 优先 如 hadoop spark 等 11 良好 沟通 推动 能力 主动性 强且 对 本职工作 有 较 强 工作 心 12 熟练 使用 git 等 版本控制 工具 13 能力 优秀者 应届 毕业生 也 可 研究生 学历 优先 工作 地址 北京市 西城区 西直门外 大街 137 号 宝蓝 金融 创新 中心
八爪鱼,岗位职责 : 1 研究 深度 学习 算法 自然语言处理 中文 进行 大规模 数据 文本 特征分析 提取 建模 利用 NLP 相关 技术 深度 学习 理论 方法 解决 实际 问题 改进 产品 功能   : 1 本科 及 以上学历 计算机相关 专业 熟悉 基于 统计 基于 句法 自然语言处理 方法 并 具有 分词 词性标注 关键词 抽取 文本分类 实体识别 信息抽取 情感分析 等 NLP 领域 实际 项目 开发 工作 经验 有 机器学习 知识 背景 熟悉 深度 神经网络 模型 如 DNN RNN LSTM 者 优先 熟悉 大规模 数据挖掘 机器学习 分布式计算 等 相关 技术 并 具备 多年 实际 工作 经验 者 优先 有 使用 Hadoop Spark 等 分布式 开发 环境 者 优先 ; 6 对 未知领域 有 一定 学习 研究 能力 并 持续 改进 现有 流程 方法   亮点 公司 组织 架构 扁平 流程 及 制度 完善 员工 整体素质 高 企业 重视 人才 培养人才 信任 人才 双 职业 发展 通道 员工 职业规划 指导 福利 优厚 入职 即 享五险 一金 一档 长期 提供 免费 零食 泡面 咖啡 饮品 下午茶 节日 礼品 丰厚 带薪 年 假 国家 法定 假 个人 法定 假 入职 4 年享 研修 假 15 天 年度 旅游 体检 周末 双休 不 打卡 加班 调休 及 补贴 · · · · · ·
物灵,负责   NLP NLU   自然语言处理 相关 核心技术 研发 基于 对话 上下文 spoken   text   用户 意图 理解 自动 问答 chat   bots   等 系统核心 模块 建模 研发 自然语言处理 文本挖掘 机器学习 机器翻译 模式识别 等 相关 专业 硕士 博士 该 领域 有 很 好 技术 积累 具备 良好   CC   编程能力 熟悉 python 有 创业 激情 良好 抗压 能力 团队精神 有 参 过 自动 问答系统 或 对话系统 研发 经验 者 优先
热巢,1 精通 spark 运行机制 2 精通 scala python 数据处理 能 写出 高效 代码 3 精通 基于 统计学 机器学习 算法 有 实际 项目 经验 4 工作 积极主动 能 承担 工作 压力 5 快速 学习 乐于 分享 6 表达清晰 能够 快速 理解 业务 需求 转化 为 技术 解决方案
灵智优诺,职责 涉及 金融保险 垂直 领域 知识图谱 挖掘 构建 2 切词 词性 分析 句法分析 等 常用 NLP 技术 应用 优化 3 智能 对话 框架 问题 分析 优化 算法 实现 等 4 团队 建设 人员 培养   自然 语音 处理 相关 专业 硕士 以上学历 2 相关 领域 3 年 以上 工作 经验 对 自然语言处理 模型 算法 有 相当 了解 并且 有 工业化 落地 经验 3 具备 一定 机器学习 深度 学习 相关 背景 知识 应用 经验 4 具有 大规模 数据处理 分析 挖掘 工作 相关 经验 者 优先 5 做过 搜索 query 分析 机器翻译 知识图谱 智能 交互 其中 之一 相关 开发者 优先
新浪网,    基于 深度 学习 自然语言 理解 技术 研究 应用     资讯 博文 文本分类 标签 提取 知识图谱 构建     图片 分类 理解 技术 研究 违禁 低俗 广告 图片 识别
51信用卡管家,1   分析 公司 海量 文本 数据 包括 用户 资料 信用卡 账单 等 为 公司 反 欺诈 提供 有效 模型 特征   2   NLP 技术 研发 及 前沿 算法 跟踪 根据 产品 需求 完成 技术 转化 推动 业务 发展 1     计算机相关 专业 硕士 以上学历 有 NLP 实际 项目 经验 尤佳 2     熟悉 基于 统计 句法 语法分析 自然 处理 方法 包括 分词 词性标注 命名实体识别 依存 句法分析 文本分类 文本检索 Deep   Learning NLP 领域 中 应用 等等 3     人工智能 领域 有 一定 积累 能够 从 复杂 业务 场景 中 进行 算法 选型 算法 优化 以及 不断 提升 效果 并 能 真正 应用 商业 环境 4     具有 较强 编程能力 C Java 熟练 使用 至少 一种 脚本语言 python shell 等 熟悉 hadoop spark 框架 者 尤佳 5     学习 能力 强 能 独立 分析 并 解决问题
脑洞科技,结合 线 教育 应用 场景 负责 中英文 自然语言处理 数据挖掘 相关 研究 工作 包括 但 不 限于 文本 聚类 语义理解 信息抽取 知识图谱 对话生成 等 负责 机器学习 研发 工作   岗位 1 年 以上 自然语言处理 机器学习 数据挖掘 相关 工作 经验 熟悉 自然语言处理 常见 算法 模型 如   LDA Word2Vec CNNRNN   等 具备 较强 编码 能力 扎实 数据结构 算法 功底 熟练掌握 c python 4 熟悉 机器学习 基本 算法 概念 如 逻辑 回归 神经网络 决策树 等
泰迪智慧,负责 团队 基础 NLP 工具 开发 维护 及 NLP 开源 工具 二次开发 封装 ; 2 负责 团队 文本挖掘 相关 研发 工作 ; 3 负责 领域 知识图谱 构建 ; 4 负责 团队 智能聊天 机器人 相关 技术 研发 ; 熟练掌握 java python 语言 及 常用 包 ; 2 了解 自然语言处理 中 词法 语法 语义分析 问题 如 分词 词性标注 命名实体识别 信息抽取 词义 消歧 主题模型 等 ; 3 理解 自然语言处理 常用 算法 如 WORD2VEC CRF LDA LSA SVD 等 并 有 实践经验 ; 4 熟悉 NLP 领域 当前 热点 前沿技术 对 NLP 有 系统 认识 ; 5 有 自动 问答 方面 经验 优先 有 知识图谱 等 相关 领域 经验 优先 熟悉 深度 学习 NLP 中 应用 优先
鼎复,1   利用 NLP 机器学习 数据挖掘 等 技术 进行 信息 智能 挖掘 ;   2   自动 构建 金融 知识图谱 ; 3   基于 大 数据 金融 分析 平台 研发 ; 4   金融 投资 模型 研究 开发 ; 5   可以 作为 项目 负责人 或者 技术 leader 负责 某一 方向 技术 攻坚 ;   岗位 : 1   具有 NLP 机器学习 或者 数据挖掘 有 较 丰富 经验 ; 2   对 数据结构 算法 有 较 好 理解 较强 coding 能力 ; 3   能够 运用 相关 算法 解决 金融 中 相关 问题 ; 4   至少 熟练掌握 一门 开发 语言 : CC JAVAPYTHON ;   5   有 搜索引擎 推荐系统 知识图谱 等 开发 研究 经验 同学 优先 ;
易车公司,1 设计 并 构建 NLP 基础 平台 用于 处理 各类 NLP 任务 2 构建 NLP 相关 预测 模型 服务 于 用户 画像 推荐 广告 等 系统 3   应用 机器学习 处理 海量 非 结构化 文本 数据 完成 知识 抽取 NLU 多轮对话 决策 智能 纠错 逻辑推理 等 实用 场景 下 落地 实现 4 探索 利用 最前沿 NLP 技术 来 解决 现有 新 NLP 相关 问题   1   精通 PythonCC 语言 对 算法 数据结构 有 深入研究   有 Linux 相关 平台 应用 程序开发 经验 2   有 大规模 搜索 推荐系统 实际 研发 经验 3   NLP 基础知识 系统 扎实 了解 NLP 及 AI 最新进展 4   掌握 机器学习 相关 知识 有 深度 学习 增强 学习 算法 经验 优先 6   责任心 强   能 承受 一定 工作 压力   有 较 强 学习 能力
美团点评,工作 职责 : - 负责 对话系统 中 口语 意图 理解 需求 分析 - 负责 多轮对话 中 关键 NLP 技术 研发 能力 : - 具有 NLP 领域 专业 背景 至少 两年 以上 实践经验 - 有 从事 对话系统 搜索 系统 上 需求 分析 相关 工作 经验 者 优先 - 良好 编程能力 熟练掌握 Java 或 CC 语言 熟悉 linux 平台 shell 编程   对 数据结构 算法 设计 有 较 深 理解 - 具备 很 好 分析 解决问题 能力 - 热爱 创新 并 以 产品 为 导向
商汤科技,工作 职责 : 1   使用 最 先进 自然语言处理 NLP 及 机器学习 技术 结合 业务 数据 情况 提出 合理 解决方案 2   设计 线 上线 下 实验 方案 客户 沟通 部署 整个 系统 并 完成 实验 迭代 优化 机器学习 系统 效果 资格 : 1   自然语言处理 信息检索 或 机器学习 方向 博士 2   扎实 机器学习 数据挖掘 基础 自然语言处理 领域 有 深入研究 熟悉 自然语言处理 算法 包括 Deep   Learning   HMMs   CRF s   SVMs   LDA   LSI   MRFs 等 3   熟悉 NLP 算法 实现 有 能力 标准 算法 标准 上作 修改 并 进行 相关 数学 推导 等 4   具有 扎实 编程 基础 熟练 使用 C PythonShell Scala 等 熟悉 机器学习 NLP 大规模 生产 环境 部署 5   熟悉 一个 或 多个 常见   MLDL NLP   开源 工具 库 熟悉 分布式 机器学习 框架 比如 TensorFlow   PyTorch   MxNet 6   热爱 尝试 新 算法 新 应用 及 新 工具     7   具有 良好 沟通 表达能力 具备 较强 团队 合作 意识 加 分项 1   ACL NAACL EM NLP TACL 等 学术会议 或 期刊 上 发表 过 相关 论文 2   有 以下 NLP 方向 项目 经验 wordparagraphdocument   embedding   ranking   entityrelation   extraction   text   summarization   semantic   search   ontology - aware   IR   question   answering   systems 3   有 近代 深度 学习 相关 NLP 方向 项目 经验 wordparagraph   embedding   representation   learning   textsentiment   classification   ambiguity   disambiguation
AKULAKU,1   负责 自然语言处理 NLP 相关 研发 工作 包括 文本分类 聚类 中文分词 实体识别 关键词 抽取 热点 发现 及 词性 分析 等 2   负责 基于 知识图谱 技术 知识库 系统 设计 研发 3   负责 NLP 相关 算法 研究 改进 应用 4   负责 NLP 核心 算法 API 封装 5   负责 项目 中 NLP 相关 方案 制定 及 开发 1   至少 1 年 以上 自然语言处理 NLP 开发 经验 2   熟悉 CC 或 Java 语言 编程 熟悉 一种 脚本语言 对 数据结构 算法 设计 有 较为 深刻 理解 3   计算机 数学 统计 等 相关 专业 优先 硕士 及 以上 学位 优先 4   优秀 分析 问题 解决问题 能力 对 解决 具有 挑战性 问题 充满 激情 5   责任心 强 具有 良好 沟通 能力 团队 合作 精神
橙鹰,负责 自然语言处理 语音 处理 相关 算法 落地 工作 包括 但 不 限于 文本分类 聚类 主题 提取 命名实体识别 知识图谱 构建 多 语言 支持 语音识别 音频 唯一性 识别 相关性 挖掘 等 从事 核心 开发 工作 带领 工程师 解决 算法 问题 1   负责 自然语言处理 算法 相关 底层 技术 平台 研究 实现   2   负责 面向 具体 业务 语义分析 知识库 建立 知识 推理 等 事宜 方法 实践   3   从 系统 应用 角度 大 数据 环境 下 利用 数据挖掘 深度 学习 理论 方法 解决 实际 问题   4   具备 一定 带队 能力 能够 带领 一支 小而精 团队 根据 需求 快速 迭代 推进 项目 1 数学 统计学 计算机 信号处理 等 专业 硕士 以上 具备 深厚 NLP 算法 工作 经验 具备 扎实 数据挖掘 机器学习 相关 数学 基础 2 熟悉 数据挖掘 方法 熟悉 各类 常规 机器学习 算法 包括 但 不 限于 决策树 随机 森林 逻辑 回归 SVM 贝叶斯 神经网络 概率 图 等 能够 解决 分类 聚类 回归 等 常见 数据挖掘 问题 具备 算法 实现 能力 具备 一定 算法 研究 改进 能力 3 熟悉 深度 学习 理论 算法 包括 CNN RNN LSTM 等 熟悉 Tensorflow 等 主流 算法 开发 应用 平台 4 理解 文本 语音 数据 结构 特点 有 一定 语言学 功底 根据 业务 特点 进行 数据抽象 建模 5 以下 领域 有 算法 实际 项目 经验 者 优先 分词 词性标注 新词发现 词义 消歧 情感分析 主题模型 话题 分析 命名实体识别 事件 发现 舆情分析 语音识别 知识图谱 等 独立 实现 过 复杂 NLP 系统 6 至少 熟悉 C Python Java 中 一种 7 具备 英文 专业 文献 阅读 能力 能 自觉 跟踪 发展 现状 理解 算法 原理 并 进行 落地 实现 8 工作 有 激情 勇于 挑战 有 责任心 具备 良好 沟通 能力 时间 管理 能力 团队 协作 意识
物灵,负责   NLP NLU   自然语言处理 相关 核心技术 研发 基于 对话 上下文 spoken   text   用户 意图 理解 自动 问答 chat   bots   等 系统核心 模块 建模 研发   自然语言处理 文本挖掘 机器学习 机器翻译 模式识别 等 相关 专业 硕士 及 以上学历 该 领域 有 很 好 技术 积累 具备 良好   CC   编程能力 熟悉 python 有 创业 激情 良好 抗压 能力 团队精神 有 参 过 自动 问答系统 或 对话系统 研发 经验 者 优先
遥望网络,1 负责 NLP 技术 自动 问答 人机对话 语义理解 等 方向 上 应用 研究   2 负责 NLP 相关 核心技术 研发 及 前沿 算法 跟踪 根据 产品 需求 完成 技术 转化 推动 业务 发展   岗位   模式识别 人工智能 数学 计算机相关 专业 硕士 以上学历 熟悉 基于 统计 句法 语法分析 自然 处理 方法 包括 分词 词性标注 命名实体识别 依存 句法分析 文本分类 文本检索 Deep   Learning NLP 领域 中 应用 等等   3 人工智能 领域 有 一定 积累 能够 从 复杂 业务 场景 中 进行 算法 选型 算法 优化 以及 不断 提升 效果 并且 能够 真正 应用 商业 环境 成为 商业智能 驱动 者 能够 使用   CC Python   独立 实现 复杂 数据结构 算法 原型 自动 问答 人机对话 口语 理解 知识库 管理 等 领域 有 实际 开发 从业 经验 者 优先   6 学习 能力 强 能 独立 分析 并 解决问题 正直 诚信 有 责任感 有 激情
新浪微博,工作 职责 : - 负责 手机 微博 大规模 互联网 文本 数据 分析 挖掘 相关 工作 包括 分类 聚类 关键词 提取 等 - 提高 对 数据 主题 情感分析 能力 - 提升 广告 黄反 内容 质量 权威性 识别 效果 - 了解 用户 需求 改善 用户 体验 职责 : - 熟悉 自然语言处理 机器学习 模式识别 等 常用 算法 对 自然语言 方向 有 浓厚兴趣 - 熟悉 NLP 领域 当前 热点 前沿技术 对 NLP 有 完整 系统 认识 - 熟悉 linux 下 CC 或 python 编程语言 对 数据结构 算法 设计 有 较为 深刻 理解 - 具备 优秀 分析 问题 解决问题 能力 对 解决 具有 挑战性 问题 充满 激情 - 具备 良好 团队 合作 精神 沟通 意识
汤臣倍健,        1   负责 自然语言处理 NLP 相关 研发 工作 包括 文本分类 聚类 中文分词 实体识别 关键词 抽取 热点 发现 及 词性 分析 等         2   参 基于 知识图谱 技术 知识库 系统 设计 研发         3   负责 NLP 相关 算法 研究 改进 应用         4   负责 项目 中 NLP 相关 方案 制定 及 开发 基于 对话 上下文   spokentext   用户 意图 理解 自动 问答 chatbots   等 系统核心 模块 建模 研发         5   负责 NLP 核心 算法 API 封装         岗位         1   计算机 数学 统计 等 相关 专业 优先 硕士 及 以上 学位 优先 至少 1 年 以上 自然语言处理 NLP 开发 经验         2   熟悉 CC 或 Java 语言 编程 熟悉   python 熟悉 一种 脚本语言 对 数据结构 算法 设计 有 较为 深刻 理解         3   优秀 分析 问题 解决问题 能力 有 创业 激情 良好 抗压 能力 团队精神 对 解决 具有 挑战性 问题 充满 激情         4   责任心 强 具有 良好 沟通 能力 团队 合作 精神         5   有 参 过 自动 问答系统 或 对话系统 研发 经验 者 优先        
四达时代集团,岗位 描述 1 基于 海量 字幕 音频 信息 构建 语料库 并 训练 翻译 听写 引擎 2 深入 翻译 听写 业务 进行 数据分析 语义理解 场景 化 优化 岗位   1 有 语音识别 或 机器翻译 系统 开发 经验 者 优先 2 扎实 数据结构 算法 功底 编码 强悍 3 熟悉   Linux   开发 环境 掌握 Java 熟悉 Python4 有 自然语言处理 数据挖掘 机器学习 知识 背景 有 实践经验 更佳 5 熟悉 有道 科大 讯 飞 等 语音 听写 服务 熟悉 LTP 等 自然语言处理 工具 6 本科 及 以上学历 硕士 博士 优先
