jobname,money,company_name,p_bot,industry,job_bt
算法博士,50k-70k,京东商城,"50k-70k,经验不限,博士",电子商务 / 上市公司,"
职位描述：

【岗位描述】
 
1. 结合智慧供应链场景，应用机器学习、深度学习、自然语言处理、统计学习等技术解决实际问题，如：趋势预测、行业洞察、智慧商品、商品图谱、图像识别等；
 
2. 参与JD智慧供应链趋势识别相关的机器学习、深度学习、图像处理等技术方案的设计与实现；
 
3、基于海量的电商商品、社交媒体、新闻论坛等数据，通过分析和挖掘，给出有价值的解决方案，并协助实现算法的工程化及产品化；
 
4、关注机器学习、深度学习领域的最新研究进展，追踪、调研前沿动态，并将业内最新的技术和方法合理地运用到实际产品中，后续做针对性地优化。
 
 
【岗位要求】 
 
1. 计算机、数学、统计学、自然语言处理、机器学习、模式识别、图像算法等相关领域的博士学历；
 
2、熟悉常用的机器学习/深度学习算法及原理，包括但不限于逻辑回归、SVM、决策树、随机森林、CNN、RNN/LSTM等；
 
3、在模型算法应用和优化方面有一定的经验，有基于分布式平台上算法实现经验者优先考虑；
 
4、熟练掌握常用的编程语言，如：Python、C++、R等；
 
5. 有较强的英文文献阅读、理解及写作能力

"
AI算法工程师,40k-80k,庖丁科技,"40k-80k,经验5-10年,本科","金融,数据服务 / A轮","
职位描述：

职位要求：

有较强的算法基础和工程实践能力；
有文本处理相关研发经验，比如自然语言NLP处理、信息抽取、智能问答、知识图谱、语义理解等；
有深度学习研究或者相关工程经验 熟悉某一种编程语言（Go、C++，Java，Python等），有一定的项目经验 ；

加分项：

有图片识别、提取文字信息, 形状信息经验
在计算机科学顶级会议和期刊如 NIPS、ICML、KDD、WWW、ACL、EMNLP、CIKM 等发表过论文


"
AI算法工程师(J10924),30k-50k,沪江,"30k-50k,经验不限,硕士","移动互联网,教育 / D轮及以上","
职位描述：

工作职责：1. 负责各语言类作文和翻译的自动批改算法、口语评测相关算法的研究2. 负责chatbot, anti-spam, auto-tag等相关算法的研究，以及NLP算法在教育产品方向上的创新尝试3. 负责与产品、开发一同将各种算法进行产品化4. 负责以上算法与产品应用的相关专利申请任职资格：1. 计算机、信号处理、自动化等相关专业，硕士以上学历，具备一定的模式识别、语音相关方面的理论知识2 . 语音相关领域英文文献阅读无障碍，具备中英文学术论文的调研能力，有从事研究型项目的经历3. 了解自然语言处理基础理论和方法，了解中文分词、语义分析、文本聚类、情感分析、实体识别等基础算法和应用4. 熟悉Linux系统，具备较好的C、C++或python编程能力，有一定的代码开发经历满足以下条件的优先考虑： 1. 熟悉RNN、CNN等深度学习算法及其常用工具如TensorFlow、Caffe、CNTK等2. 有在线教育NLP方向研究与应用开发经验者”

"
视频算法工程师,15k-30k,美房云客,"15k-30k,经验3-5年,本科",移动互联网 / 上市公司,"
职位描述：

工作职责：
1、从事视频多媒体技术的研究和产品研发工作
任职要求：
1、计算机等相关专业，本科学历3年以上相关工作经验
2、精通GPGPU开发
3、熟悉视频压缩理论，对视频压缩算法有独到的理解，熟悉常用的视频压缩标准：MPEG1/2/4，H263/H264，HEVC；
4、3年以上视频编解码项目经验，有H264，HEVC(H.265)编解码开发经验者优先；
5、掌握图像增强、目标提取、分割以及跟踪等算法；
6、熟悉Windows或Linux平台高级编程，包括IPC、Socket、线程等，有流媒体视频项目开发经验优先。

"
算法工程师,20k-40k,小立教育,"20k-40k,经验1-3年,本科",教育 / 天使轮,"
职位描述：

职位描述
1、参与核心推荐系统算法的研发和优化
2、使用机器学习及大数据技术，基于海量数据使用行为日志建立用户画像，从数据关联及行为趋势等方面进行预判用户意向行为
3、推荐逻辑的工程实现
 
 
职位要求
1、熟悉机器学习、深度学习常用算法，熟练掌握CNN、RNN、深度增强学习等至少一种算法原理
2、熟悉常用数据结构算法，有扎实的数学基础，包括矩阵理论、线性代数、概率以及最优化等
3、具有图像处理，机器学习理论基础；至少掌握图像识别技术一种算法，有做过人脸识别，人形检测，人体姿态估计等相关研发的优先考虑
4、了解深度学习的进展，熟悉Caffe、Tensorflow、Torch、Theano、MxNet、CNTK等至少一种深度学习框架
5、具有良好工程实现和调优能力，熟练掌握C/C++、Python、R、Matlab 等至少一门语言
6、对K12教育有经验和兴趣者优先

"
算法工程师（研究员）,25k-40k,希悦,"25k-40k,经验1-3年,硕士","移动互联网 ,教育 / 不需要融资","
职位描述：

工作目标：
1.基于现有的学生综合数据，研究出评价学生的新型方法。
2.在数据平台的支持下，研究对学生更全面的评价方法。

工作职责：
1.帮助产品团队进行算法方面的相关调研。
2.参与算法团队讨论与算法原型开发。
3.指导数据平台建设，基于数据提出分析方法。
4.使用机器学习进行各类数据分析的尝试，并进行总结。

任职要求：
1.熟悉常用的经典数据结构与算法，熟悉常用的开发工具，能够独立编程解决常见问题。
2.熟悉常用的基础机器学习算法，SVM方法、Boosting方法、提升树模型等；了解深度神经网络、概率图模型。
3.熟悉至少一门脚本语言和机器学习工具，能够快速进行新模型的尝试。
4.有机器学习、数据分析相关实践经验。
5.有用户画像、推荐系统相关工作经验者优先。

"
大数据算法工程师,15k-25k,柠檬微趣网络科技,"15k-25k,经验不限,本科","游戏,移动互联网 / 上市公司","
职位描述：

1、Hadoop数据分析平台建设、开发、测试、部署和优化；
2、基于Hadoop的存储平台架构设计与性能优化；
3、设计和开发海量数据的管理系统；
4、基于现有数据统计平台，开发数据统计报表；
5、结合当前大数据平台技术，设计和实现数据收集模型、数据分析处理模型和数据汇总展现模型；
6、实现各运营组织要求的相关数据的统计报表。
职位要求：
1. 精通计算机算法，及大数据相关算法
2. 精通SQL语句，可以快速编写复杂查询
3. 懂得 Hadoop、GFS 一类分布式存储原理
4. 熟练编写 Java 和 Linux shell 程序
5. 有大数据工作经验者优先岗位职责：

"
算法工程师,30k-50k,华亨资本管理集团,"30k-50k,经验3-5年,本科","移动互联网,广告营销 / 未融资","
职位描述：

岗位职责：
开发维护优化推荐系统
针对垃圾职位、SEO职位等进行反作弊处理
从文本内容中进行数据挖掘
任职要求:1. 本科以上学历，计算机/数学或相关专业；2. 熟悉自然语言处理，有相关项目经验；3.参与过推荐系统开发，熟悉点击预估相关算法；
4.熟悉机器学习相关算法（分类、聚类、预测等），并有相关项目经验
5.了解深度学习相关知识6. 能独立阅读英文文献并进行具体实现；
7. 有较多的程序开发经验，对数据结构和算法知识应用熟练；有大数据处理经验者更佳。
8. 要求python或Java编程熟练，熟悉sql语句及linux操作系统

"
AI算法工程师,20k-30k,百度,"20k-30k,经验3-5年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：


工作职责：
 1. 研究深度学习（包括各种神经网络结构）和机器学习在计算机视觉/语音处理/广告推荐等各个应用领域中的核心算法；
2.  将上述核心算法应用到各种复杂的现实场景中，如无人车、智能家居、数据中心互联网级业务系统等；
3. 针对AI应用场景，利用XPU AI芯片的软硬件协同系统，进行算法和系统的联合优化;
4. 在模型压缩等方向，抽象软硬件强协同的整套解决方案;
 
职位要求：
 1. 机器学习、计算机视觉、图像处理等相关方向，具有计算机、数学或者统计学教育背景；具有两年以上算法研究经验；
 2. 熟悉深度学习算法（CNN/LSTM）和现有深度学习/机器学习开源框架，如TensorFlow、Caffe等；
3. 具有较强的编程实现能力和快速学习能力;具备钻研精神和创造力，能够通过阅读论文学习最新算法和理论；
4. 加分项：在CVPR，ICCV，NIPS，ICLR，ICML，TPAMI等相关顶级学术会议期刊发表过相关论文者优先；具备GPU编程等异构计算经验者优先；

"
算法工程师,20k-40k,宽凳科技,"20k-40k,经验不限,硕士",数据服务、企业服务 / 天使轮,"
职位描述：

计算机视觉高级（资深）工程师（SLAM、三维方向）
薪资：
岗位描述：
1）参与产品中的SLAM、视觉定位、三维重建系统的搭建及相关算法的研究与实现。
2）参与产品中的要素识别、提取、可视化相关产品的研究与实现。
3）持续跟踪国内外相关领域进展，根据公司产品需要不断进行创新及性能提升。

岗位要求：
1）计算机视觉、摄影测量、模式识别、数学等相关专业本科以上学历。
2）具有良好的编程风格，熟悉C、C++编程，精通网络编程、多线程编程；
3）熟悉常用数据结构算法，有扎实的数学基础，包括矩阵理论、线性代数、概率以及最优化等；
4）熟悉计算机视觉和图像处理的常用方法，熟练使用opencv；
5）掌握SLAM的基础理论和算法，研究并开发以视觉为主的多传感器融合的SLAM构建算法以及跟踪定位算法。
6）较强的逻辑思维能力以及算法实现能力，具备良好的沟通能力、解决实际问题的能力和团队合作精神。
7）在机器学习、图像视频理解、图像分类、物体检测等算法方面有经验者优先；

"
