jobname,money,company_name,p_bot,industry,job_bt
数据挖掘算法工程师,20k-40k,好未来,"20k-40k,经验3-5年,本科","移动互联网,教育 / 上市公司","
职位描述：

任职要求：
1、计算机或者相关专业，本科以上学历，2年以上工作经验2、精通Python/C/C++等语言，在数据挖掘、机器学习领域中，具备将算法应用于实际生产系统的成功经验和能力3、具备优秀的逻辑思维能力，较强的数据分析能力，良好的沟通能力和学习能力4、具备使用大数据框架（Hadoop、Spark/Storm、hdfs）等的能力
岗位职责：
1、负责建立学生用户画像，指导学生更好的完成学习课程2、负责课程数据分析和挖掘，指导教师优化课程，提升课程体验3、负责试题、作业批改自动化，提升办公效率

"
数据挖掘工程师,20k-40k,美柚,"20k-40k,经验3-5年,本科",移动互联网 / D轮及以上,"
职位描述：

岗位职责：1、海量用户画像的构建及不断优化2、开发多种个性化算法（包括但不限于推荐系统、精准广告定向）3、负责提供算法设计和代码文档，与架构师一起设计算法并行化实现任职要求：1、计算机，机器学习，模式识别等相关专业，本科学历，硕士及以上优先2、3年以上互联网公司数据挖掘/机器学习项目经验，有lead一个项目或者一个方向的经验，有较强的沟通能力和项目推动能力。3、有丰富的数据挖掘、机器学习（svm、神经网络、随机森林等）、分布式计算（eg. mapreduce、spark等）的实际工作经验。4、编程基础扎实，熟悉算法数据结构，有超过3年以上Java或Python开发经验5、熟悉Hadoop、HBase、Hive、Storm、spark等大数据开发工具中一种或几种6、有广告数据方面工作最佳

"
自然语言处理工程师/数据挖掘工程师,20k-40k,金山办公软件,"20k-40k,经验3-5年,本科",移动互联网 / 上市公司,"
职位描述：

【职位描述】

1.对产品用户行为数据的分析挖掘，协助构建用户数据模型，研究互联网产品，用户变化，用以支持各项决策。
2. 因项目研发需要而赋予的其他工作职责。

【任职资格】

1、具备扎实的数学和计算机科学功底，以及坚实的数据挖掘和机器学习理论基础
2、具有扎实的数据结构和算法功底，掌握C/C++/Python/R/Java等至少一门高级编程语言

3、熟悉hadoop/hbase/hive/mpi任意一项技术，精通MR编程，有源代码阅读经验者优先
4、具备良好的逻辑分析能力和解决实际问题的能力
5、有成功的数据挖掘应用经验优先
6、2年以上工作经验

"
数据挖掘工程师,20k-40k,柏睿数据,"20k-40k,经验1-3年,硕士","数据服务,信息安全 / B轮","
职位描述：

岗位职责：
1)匹配金融反欺诈、安全策略、精准营销等业务场景，使用机器学习、文本挖掘、用户特征提取、用户聚类分类、推荐系统协同过滤等技术，设计数据建模（模型/算法）解决方案，对业务数据进行分析和建模，并负责各类数据挖掘模型的开发、应用、监控优化，支撑公司数据挖掘课题落地。
2)开展数据挖掘分析算法/工具研究工作，研发创新方法解决业务问题，并组织相应方法／工具的引入，技术规范制定和推广。

任职资格：
1）计算机、数学、统计或其他相关领域硕士学历，2年以上大数据建模工作经验；
2）熟悉数理统计、机器学习具体实施方法；
3）擅长常用统计，如线性回归、逻辑回归、时间序列、聚类及神经网络等
4）能有效完成报告呈现和数据解读；
5）海量数据处理和挖掘经验者优先。

"
数据挖掘工程师,20k-40k,特斯联,"20k-40k,经验3-5年,本科","移动互联网,硬件 / B轮","
职位描述：

职位描述
1、基于海量用户行为，开发用户画像数据挖掘模型（标签开发与标签评测）
2、对海量用户行为数据进行离线、实时处理
3、参与大数据的架构设计、开发、部署、自动化运维和数据分析等工作
4、利用大数据相关的新技术，提升系统性能。
5.有用hive/spark/hadoop进行过数据处理经验优先
任职资格:
1、熟练使用Java/Python等语言进行开发，3年以上相关经验;
2、熟练掌握 Linux 操作系统的配置，管理及优化
3、熟悉主流分布式处理框架——Hadoop、HBase、hive等，掌握MapReduce、Storm或者Spark编程（至少其中一项）；

"
数据挖掘工程师,20k-35k,爱卡汽车,"20k-35k,经验1-3年,本科","移动互联网,社交网络 / 不需要融资","
职位描述：

职位描述：1. 熟悉大规模数据挖掘、机器学习、自然语言处理、分布式计算、统计学、数据挖掘的算法和技术，并具备两年以上相关实际工作经验。2. 对数据结构和算法设计有较为深刻的理解，有一定编程能力（Python/Java）。3. 优秀的分析和解决问题的能力，对挑战性问题充满激情，有较强的学习能力，并且能够快速实现数学模型。4. 良好的团队合作精神，较强的沟通能力。
5.用数据洞察汽车生活。
任职要求：1.计算机、数学等相关专业本科以上学历2.熟悉数据挖掘、机器学习、推荐系统的理论（包括但不限于：聚类、回归、决策树、PCA、LSA、LDA、DNN、协同过滤等4 熟悉图像识别 图计算 语音识别基础理论，熟悉 TensorFlow，Caffe，Deeplearning4j 等深度学习框架3.扎实的数据结构和算法基础，熟练 Java/Python/scala/R等开发语言之一及其他常用脚本语言。4.深入理解逻辑回归、决策树、协同过滤、贝叶斯等等常用数据挖掘算法。5.了解并熟悉使用Hadoop、Spark mllib等相关大数据开源技术。6.具备优秀的逻辑思维能⼒，对解决挑战性问题充满热情，善于解决问题和分析问题；乐于沟通和技术分享，具有团队合作精神。

"
数据挖掘工程师,15k-30k,搜狐集团,"15k-30k,经验1-3年,本科","移动互联网,广告营销 / 上市公司","
职位描述：

岗位描述:
1、通过对文本、图片、用户行为的分析和数据挖掘，建设内容标签体系，提升内容质量。
2、使用机器学习、自然语言处理等手段建立模型以及核心算法设计及实现。 
岗位要求： 
1、重点大学全日制本科及以上学历，良好的数据结构与算法基础，熟练掌握Java或Python
2、熟悉机器学习或自然语言处理者优先，有互联网行业相关经验优先。
3、有爬虫、信息抽取、文本分类、大数据处理相关经验优先

"
数据挖掘工程师,15k-30k,Eyespage,"15k-30k,经验3-5年,本科",移动互联网 / A轮,"
职位描述：

工作职责:
负责针对核心数据设计和实施机器学习算法
工作要求:
必须有计算机科学或其他相关专业全日制统招本科学龄, 另外，必须拥有以下技能：
1. （不是必须的，但有更好）掌握多种机器学习算法。机器学习算法众多，候选人有能力根据不同的环境使用不同的算法
2. 熟练掌握Python、JAVA、R中的一门或多门编程语言
3. 熟练掌握SQL
4. 熟练掌握正则表达式
5. 熟悉Linux编程环境
6. 有NLP相关工作经验的优先录用
我们的理念是做中国百姓实用的产品，对科技的探索让我们可以把大数据和人工智能结合在一起服务于普通民众。
Eyespage 的创始人是 Jack Zhou. 在2001到2006年的五年时间里，Jack在美国宾夕法尼亚大学的实验室里跟随美国著名科学总统奖获得者Lyle Ungar教授和沃顿商学院教授Dean Foster，研究人工智能的算法。2006年，Jack获得宾大的硕士和博士学位。2006到2014的八年时间里，Jack打破美国的职业天花板，在一家全球大型公司美国分公司成为唯一由非美国人担任的副总裁，领导和Google的合作项目。在硅谷，Jack在一家著名高科技企业担任首席科学家。在Jack和同事的努力下，这家公司以15亿美元被收购。
Eyespage 的不同之处在于，公司跨地区的流动和跨种族的团队，给年轻人提供了无与伦比的人生视野和发展契机。我们的成员来自于国内外知名公司，如Facebook、微软、搜狐、腾讯、百度、华为、猎豹、360搜索，毕业于宾夕法尼亚大学、哥伦比亚大学、香港科技大学、中国科学院、哈工大等著名学府，每人无一例外的优秀和热忱。 所有职工都参与和美国英语老师一对一的英语培训，所有英语老师都是Jack多年的英语老师和朋友。公司不断把中国员工带到硅谷学习和深造，让他们感受美国的强烈的创新氛围。
公司是技术型公司，以技术为驱动，团队所有人拥有本科及以上学历，有相当的英文能力，57%成员拥有硕士或博士学位。我们要求工程师面试人的背景一定要有“闪光点”，闪光点不一定是好学校或好公司，可以是不一样的项目，掌握的不一样的技术，或是超越普通工程师的其他技能。对于所有岗位，我们希望面试人有清晰的人生视野，不人云亦云，追求创新，积极跟进国外本行业的发展动态, 善于协调配合，有抗压能力。
公司获得国内最著名投资人的青睐和大量投资。公司现处于A轮阶段。我们正在开发极富创新的新产品。

"
数据挖掘工程师,15k-30k,闪银奇异,"15k-30k,经验1-3年,不限","移动互联网,金融 / C轮","
职位描述：

职位描述： 数据挖掘工程师: 
1、基于业务场景及海量行为数据发现客户行为规律，识别业务风险问题； 
2、对于互联网海量数据的进行大规模特征提取和分析挖掘； 3、提供高可靠的特征工程，保证高可靠的线下模型训练和线上模型打分。 
4、基于客户风险和海量行为数据，设计并开发实现风控打分卡。 

岗位要求： 
1、2年以上python数据开发或挖掘经验优先,计算机、软件工程，统计等相关专业. 
2、有优秀的动手编程能力，熟练使用下列分析开发语言:Python/Mongodb/SQL/Flask; 
3、沟通、推动和学习能力强，具有较强的分析问题和解决问题的能力； 
4、思路清晰，主动性强，有很强的自我驱动能力。

"
数据挖掘师,20k-30k,百度,"20k-30k,经验1-3年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

职位职责： 
-负责百度原生广告相关业务的数据挖掘与分析
-建立广告数据分析模型，提供核心算法和基础特征，为策略系统的搭建提供支持
职位要求： 
-具备强悍的编码能力，扎实的算法和数据结构知识； 
-熟悉机器学习与最优化常用算法，包括分类，回归，无监督算法，降维，遗传算法等。
-熟悉Python、Go、C++/Java中的一种，hadoop相关开源组件如：hive/spark/storm等； 
-具备优秀的分析问题和解决问题的能力； 
-熟悉常见的开源组件，有大数据处理相关经验；

"
