address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
悦来,悦来街道悦城路36号,国博城,13500,套内 111~136m²,4室(1)/3室(1),住宅,在售,66
南山,黄桷垭福寿路2号（四公里广黔路上南山）,复地山与城,250,套内 192~216m²,6室(1)/5室(1),别墅,在售,115
龙洲湾,龙洲湾（轨道3号线大山村站）,万友四季缤纷,价格待定,套内 35~63m²,3室(2)/1室(1),住宅,售罄,33
悦来,悦来会展中心旁,首地江山赋,价格待定,,,住宅,售罄,56
园博园,金开大道翠渝路55号（轻轨园博园站旁）,美利山公园城市,价格待定,套内 125m²,3室(1),住宅,售罄,69
北滨路,嘉陵江大桥北桥头（北滨路星悦荟旁）,御龙天峰,价格待定,套内 280m²,4室(1),住宅,售罄,164
大竹林,大竹林金开大道西,金科天元道,16000,套内 124m²,3室(1),住宅,售罄,93
礼嘉,礼嘉礼仁街575号（轨道6号线金山寺旁）,渝兴嘉悦山水,价格待定,套内 70~195m²,4室(2)/2室(2),住宅,售罄,120
六公里,渝南分流道六公里下路口（美缇雅城车站前行300米）,万科金域学府,价格待定,套内 67~73m²,3室(2),住宅,售罄,50
陈家桥,西永赖家桥轻轨站旁,渝开发格莱美城,价格待定,,,住宅,售罄,37
毛线沟,杨家坪西郊路紧邻轻轨2号线动物园站,中房那里,价格待定,,,住宅,售罄,45
弹子石,福民路（朝天门大桥南桥头）,蓝光帕提欧,价格待定,套内 111~118m²,3室(3),住宅,售罄,206
磁器口,磁器口古镇旁（原重庆绢纺厂旁）,国富沙磁巷,价格待定,套内 63~65m²,2室(3),住宅,售罄,43
大坪,肖家湾公交车站旁（大坪医院往两路口方向的肖家湾车站）,和泓江山国际,19000,套内 74~111m²,4室(1)/3室(3)/2室(2),住宅,在售,140
鱼洞,江南新城轻轨2、3号鱼洞站旁（巴南体育中心对面）,中昂锦绣,7000,套内 88m²,3室(1),住宅,在售,35
海尔路,五里店海尔路港城工业园港城南路20号,港城印象,9800,,,住宅,售罄,51
鱼嘴,鱼嘴镇(鱼嘴镇政府旁),巨龙江山国际,6900,套内 104m²,3室(1),住宅,在售,35
照母山,星光大道延长线旁（照母山植物园旁）,融创凡尔赛领馆,价格待定,,,住宅,售罄,70
新牌坊,新溉大道99号（轻轨3号线郑家院子站旁）,中渝香奈公馆,价格待定,套内 68~198m²,4室(1)/3室(1)/2室(1)/1室(1),住宅,售罄,144
茶园新区,茶园新区蔷薇路66号,普瑞花园,价格待定,套内 64~91m²,3室(2)/2室(1),住宅,售罄,34
石桥铺,石桥铺玉灵路238号,中辅小时代,价格待定,,,住宅,售罄,45
解放碑,解放碑民权路88号（较场口转盘）,日月光解放碑1号R3,33000,套内 60~219m²,5室(1)/4室(1)/3室(2)/2室(2),住宅,在售,240
西彭,西部新城陶家商圈（陶家百可广场旁，陶家老街站）,旭城公园府邸,价格待定,套内 51~82m²,3室(1)/2室(1),住宅,售罄,28
六公里,渝南大道9号(凯恩家具城旁100米),保利林语溪,价格待定,套内 56~91m²,4室(3)/3室(1)/2室(2),商业类,售罄,24
回兴,宝圣大道599号(西南政法大学旁),金鹏两江时光,价格待定,套内 42~92m²,3室(2)/2室(4)/1室(2),住宅,售罄,43
观音桥,观音桥（重庆儿童公园旁）,保利江上明珠乐园,价格待定,套内 70~80m²,3室(2),住宅,售罄,96
石桥铺,经纬大道1599号（石新路立交附近）,恒鑫名城三期,价格待定,,,住宅,售罄,37
龙头寺,龙头寺轨3号线出口150米（麦德龙对面）,招商雍华府,500,套内 217m²,6室(1),别墅,在售,570
陈家桥,西永轨道一号线（微电园站旁）,重庆万达文化旅游城,价格待定,,,别墅,售罄,380
北碚区,悦来北·云汉大道中段（静观镇）爱情谷,爱情谷,5400,套内 61m²,1室(1),住宅,在售,40
海尔路,海尔路599号（海尔路中段昆仑好客上行400米左右）,北大资源江山名门,价格待定,套内 68~90m²,2室(4),住宅,售罄,71
大学城,大学城南二路（城市管理学院旁）,金阳第一农场大学城,价格待定,,,别墅,售罄,100
杨家坪,杨家坪兴胜路（原艺校地块）,景瑞西联社,价格待定,,,商业类,售罄,21
丹龙路,南滨西路28号(兰花路社区公园旁),恒基翔龙江畔,价格待定,套内 74~113m²,3室(1)/2室(1),住宅,售罄,110
天星桥,富洲路10号（高九路与石小路交汇处）,富州新城兰亭,价格待定,,,住宅,售罄,45
双山,双山路187号(双山公园),朵力迎宾大道,价格待定,套内 49~124m²,5室(1)/3室(4)/2室(2),住宅,售罄,50
北碚区,蔡家组团（北碚中央森林公园旁）,隆鑫爱琴海,价格待定,套内 65~74m²,2室(2),住宅,售罄,37
烈士墓,石井坡地铁站旁（中心湾转盘）,中昂嘉御湾,价格待定,,,住宅,售罄,66
空港新城,空港新城兰馨大道兰桂北二路(新城广场附近),泽科左岸长郡,价格待定,,,别墅,售罄,270
北碚区,童家溪镇同兴北路99号(三溪口翡翠湖旁),中安长岛,1000,套内 303~514m²,7室(1)/4室(1),别墅,售罄,1100
北碚区,同康路539号,力帆翡翠郡,180,套内 127~209m²,4室(1)/2室(1),住宅,在售,111
茶园新区,南岸通江大道(交通枢纽站斜对面),财盛金悦苑,价格待定,套内 61~89m²,3室(1)/2室(3),住宅,售罄,33
回兴,回兴街道双湖路（黄桷坪公园旁）,渝开发星河one,价格待定,套内 170m²,4室(1),别墅,售罄,140
融汇半岛,巴滨路（马桑溪大桥旁）,恒大御景湾,价格待定,套内 34~60m²,3室(2)/2室(2)/1室(1),住宅,售罄,73
五里店,北滨路江北嘴到嘉陵江大桥间（紧邻江北嘴商务区）,金融街融御,420,套内 183m²,5室(1),住宅,售罄,420
李家沱,渝南大道岔路口（巴南海宁皮草城旁）,芸峰兰亭,价格待定,套内 61~110m²,4室(2)/3室(5)/2室(1),住宅,售罄,67
白市驿,白市驿上邦路5号(海兰云天旁),上邦高尔夫国际社区,280,套内 255~334m²,4室(1)/3室(2),别墅,在售,90
北碚区,童家溪镇同兴北路99号(三溪口翡翠湖旁),中安长岛,1000,套内 303~514m²,7室(1)/4室(1),别墅,售罄,1100
北碚区,同康路539号,力帆翡翠郡,180,套内 127~209m²,4室(1)/2室(1),住宅,在售,111
茶园新区,南岸通江大道(交通枢纽站斜对面),财盛金悦苑,价格待定,套内 61~89m²,3室(1)/2室(3),住宅,售罄,33
回兴,回兴街道双湖路（黄桷坪公园旁）,渝开发星河one,价格待定,套内 170m²,4室(1),别墅,售罄,140
融汇半岛,巴滨路（马桑溪大桥旁）,恒大御景湾,价格待定,套内 34~60m²,3室(2)/2室(2)/1室(1),住宅,售罄,73
