address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
大丰,北星大道与大天路交汇处,保利大都汇,10500,95~126m²,4室(1)/3室(2),住宅,售罄,93
簇桥,武兴路和金江路交汇处,新希望锦悦楠庭,价格待定,99~130m²,4室(2)/3室(4),住宅,售罄,121
大丰,北星大道与甫家二路东段交汇处,保利爱尚里,10000,95~120m²,4室(1)/3室(3),住宅,售罄,49
新都城区,工业大道393号,麦田国际社区,6200,63~108m²,3室(1)/2室(3)/1室(1),住宅,售罄,25
大丰,大丰街道甫家一路289号,家益凤凰富居,7500,,,住宅,售罄,57
犀浦,犀浦镇校园路东段188号(西3.5环),华邑阳光里,12000,,,住宅,售罄,21
南湖,南湖西侧（剑南大道旁边）,中信城右岸,13500,,,住宅,售罄,83
温江新城,温泉大道二段（天来国际广场旁）,泰合新光华府,7000,,,住宅,售罄,40
温江大学城,柳台大道88号,中铁丽景书香,6000,,,住宅,售罄,42
红光,红光镇红光广场路四段216号（技师学院旁）,宇众悦城,5700,,,住宅,售罄,37
新都城区,北新干道毗河畔（香城大桥旁）,源上湾国际社区,6500,88~106m²,3室(3),住宅,售罄,33
十陵,西河大道295号,金泉香槟城,9000,64~91m²,3室(1)/2室(1),住宅,售罄,38
牧马山,花苑镇丽景路428号,龙湖悠山郡一期,250,,,别墅,售罄,250
新津,普兴镇骑龙村5组,恒大天府城邦,8500,110m²,3室(1),住宅,售罄,88
都江堰,青城山大三路2号,龙湖小院青城,140,85m²,2室(1),别墅,售罄,120
红光,红光镇港华路555号,上置绿洲雅宾利花园,8500,74~89m²,5室(1)/4室(1)/3室(1),住宅,售罄,45
郫县城区,郫县梨园路一段528号,中铁奥维尔,5600,78~108m²,3室(2)/2室(1),住宅,售罄,40
十陵,成洛大道西河段,棕榈印象,5000,92~129m²,4室(3)/3室(5)/2室(1),住宅,售罄,45
大面,龙泉驿天鹅西湖南路6号（成龙大道和天鹅西湖南路交汇处）,世茂城三期,11000,49~85m²,2室(2)/1室(1),住宅,售罄,23
光华大道沿线,温江区光华大道三段399号,湟普国际,8718,,,住宅,售罄,44
犀浦,郫县犀埔镇校园路129号（西南交大西门对面）,西郡兰庭,7500,,,住宅,售罄,75
太升路,正府街77号（中国银行大厦背后）,SG珊顿道,20000,,,住宅,售罄,62
彭山,牧马镇莲花村,恒大金碧天下果岭苑,8700,43~248m²,4室(1)/3室(5)/2室(1)/1室(1),住宅,售罄,15
温江大学城,凤溪大道778号,恒大名城,9100,,,住宅,售罄,83
茶店子,西二环子云路,龙湖紫宸,23500,,,住宅,售罄,38
新津,花源镇花源大道1888号,天山名苑,5300,,,住宅,售罄,34
广都,雅和南四路216号,龙湖九里晴川,18000,112m²,3室(1),住宅,售罄,162
温江大学城,海科路东段688号（西南财经大学旁）,西财学府憬城,6000,88~89m²,2室(2),住宅,售罄,35
光华大道沿线,光华大道三段南侧花土路936号（地铁四号线凤凰大街站旁）,中国西部文化城,6500,,,住宅,售罄,46
金融城,交子大道南沿线228号,誉峰三期,18888,,,商业类,售罄,84
双流城区,双楠大道与白衣上街交界处（蛟龙紫荆电影院对面）,贵通御苑雙楠城,8000,,,住宅,售罄,55
牧马山,牧马山新城区云岭路（国际高尔夫球场对面）,萨尔茨堡,13500,,,别墅,售罄,120
金堂,金堂县新城区滨江路2段369号(金沙街农民工博物馆对面),城投润城,3850,54m²,1室(1),住宅,售罄,21
动物园,致强路266号,蓝光金悦府,9000,,,商业类,售罄,91
牧马山,花源镇1888号,金科廊桥水乡,160,,,别墅,售罄,105
国色天香,科锦路355号（川农大旁）,锦汇城,5000,,,住宅,售罄,38
新都城区,蜀龙大道北段（石油大学西门对面）,思学园智能村,8600,71m²,3室(1),住宅,售罄,19
南湖,南湖风景区南岸河滨路中段（二江寺水文化主题游园旁）,天府美岸,16500,,,住宅,售罄,74
万年场,东2.5环建材路段与迎晖路十字交叉路,优品星座,12500,,,商业类,售罄,35
南湖,华府大道三段919号,万锦城,11000,,,别墅,售罄,67
温江大学城,柳城街办学海路399号,新尚天地,5700,,,住宅,售罄,46
龙潭寺,龙潭寺龙井路6号（三环外侧桂林小学旁边）,绿地悦蓉公馆,9900,123m²,4室(1),住宅,售罄,85
华侨城,西华街道侯家桥路288号（西华大道与侯家桥路交汇处）,中粮祥云里,12500,93~118m²,3室(3),住宅,售罄,93
文星镇,空港一路一段189号（空港一路一段与文星正街交汇处）,合力达卓越南城,7500,68m²,2室(1),住宅,售罄,19
海洋公园,天府大道南段2859号,和贵南山上,750,560m²,6室(1),别墅,在售,650
